tag_name,published_at,prerelease,author_login
v1.13.1,2020-12-31T09:17:41Z,False,dbczumar
v1.13.0,2020-12-25T07:36:45Z,False,harupy
v1.12.1,2020-11-19T07:43:19Z,False,harupy
v1.12.0,2020-11-11T23:49:55Z,False,harupy
v1.11.0,2020-08-31T07:33:52Z,False,smurching
v1.10.0,2020-07-21T17:41:17Z,False,smurching
v1.9.1,2020-06-25T06:45:13Z,False,smurching
v1.9.0,2020-06-19T17:23:11Z,False,smurching
v1.8.0,2020-04-22T00:08:32Z,False,arjundc-db
v1.7.2,2020-03-20T22:30:06Z,False,smurching
v1.7.1,2020-03-17T18:58:27Z,False,smurching
v1.7.0,2020-03-03T07:16:41Z,False,mparkhe
v1.6.0,2020-01-30T01:20:36Z,False,AveshCSingh
v1.5.0,2019-12-20T00:28:03Z,False,smurching
v1.4.0,2019-10-31T01:19:53Z,False,sueann
v1.3.0,2019-10-01T16:52:50Z,False,smurching
v1.2.0,2019-08-13T01:20:12Z,False,smurching
v1.1.0,2019-07-23T00:57:04Z,False,smurching
1.0.0,2019-06-04T01:00:00Z,False,aarondav
v0.9.1,2019-04-22T05:11:46Z,False,pogil
v0.9.0,2019-03-19T21:57:10Z,False,sueann
v0.8.2,2019-01-30T22:25:53Z,False,dbczumar
v0.8.1,2018-12-21T22:58:05Z,False,dbczumar
v0.8.0,2018-11-10T16:10:28Z,False,aarondav
v0.7,2018-10-01T23:34:50Z,False,smurching
v0.6.0,2018-09-11T00:54:36Z,False,aarondav
v0.5.2,2018-08-27T20:43:20Z,False,dbczumar
v0.5.1,2018-08-23T18:45:25Z,False,aarondav
v0.5.0,2018-08-18T02:47:55Z,False,aarondav
v0.4.2,2018-08-08T01:42:37Z,False,aarondav
v0.4.1,2018-08-03T23:22:33Z,False,smurching
v0.4.0,2018-08-01T21:47:59Z,False,smurching
v0.3.0,2018-07-18T18:38:26Z,False,aarondav
v0.2.1,2018-06-28T20:09:12Z,False,aarondav
v0.2.0,2018-06-27T17:10:44Z,False,aarondav
