tag_name,published_at,prerelease,author_login
0.8.2,2020-11-10T17:45:21Z,False,devin-petersohn
0.8.1.1,2020-10-01T15:00:50Z,False,devin-petersohn
0.8.1,2020-09-30T23:46:50Z,False,devin-petersohn
0.8.0,2020-07-29T23:16:53Z,False,devin-petersohn
0.7.4,2020-07-06T18:47:30Z,False,devin-petersohn
0.7.3,2020-04-28T18:59:03Z,False,devin-petersohn
0.7.2,2020-03-29T05:26:26Z,False,devin-petersohn
0.7.1,2020-03-29T05:25:57Z,False,devin-petersohn
0.7.0,2020-01-22T06:57:30Z,False,devin-petersohn
v0.6.3,2019-11-18T05:44:09Z,False,devin-petersohn
v0.6.2,2019-10-17T19:14:37Z,False,devin-petersohn
v0.6.1,2019-09-21T01:42:07Z,False,devin-petersohn
v0.6.0,2019-09-09T16:01:16Z,False,devin-petersohn
v0.5.4,2019-07-17T05:49:00Z,False,devin-petersohn
v0.5.3,2019-06-19T05:05:03Z,False,devin-petersohn
v0.5.2,2019-05-31T15:58:53Z,False,devin-petersohn
v0.5.1,2019-05-28T16:25:57Z,False,devin-petersohn
v0.5.0,2019-05-06T04:51:03Z,False,devin-petersohn
v0.4.0,2019-03-07T03:05:21Z,False,devin-petersohn
v0.4.0rc1,2019-02-26T03:47:33Z,True,devin-petersohn
v0.3.1,2019-02-07T21:23:39Z,False,devin-petersohn
v0.3.0,2019-01-24T19:27:06Z,False,devin-petersohn
v0.3.0rc1,2019-01-11T07:35:49Z,True,devin-petersohn
v0.2.5,2018-12-02T21:06:16Z,False,devin-petersohn
v0.2.4,2018-11-19T22:19:47Z,False,devin-petersohn
v0.2.3,2018-11-16T04:52:13Z,False,devin-petersohn
v0.2.2,2018-10-25T18:51:43Z,False,devin-petersohn
v0.2.0,2018-10-16T17:17:51Z,False,devin-petersohn
v0.1.2,2018-09-23T19:26:27Z,False,devin-petersohn
v0.1.1,2018-07-29T03:14:53Z,False,devin-petersohn
Modin-v0.1.0,2018-07-07T18:51:34Z,False,kunalgosar
