tag_name,published_at,prerelease,author_login
v0.11.1,2020-12-20T20:50:15Z,False,mwaskom
v0.11.0,2020-09-08T14:49:16Z,False,mwaskom
v0.11.0.rc0,2020-09-02T22:23:25Z,True,mwaskom
v0.10.1,2020-04-26T21:17:05Z,False,mwaskom
v0.10.0,2020-01-24T15:44:37Z,False,mwaskom
v0.9.1,2020-01-24T15:40:02Z,False,mwaskom
v0.10.0.rc0,2020-01-24T12:13:55Z,True,mwaskom
v0.9.1.rc0,2020-01-22T15:47:36Z,True,mwaskom
v0.9.0,2018-07-16T21:21:04Z,False,mwaskom
v0.8.1,2017-09-03T16:25:49Z,False,mwaskom
v0.8.0,2017-07-08T22:53:16Z,False,mwaskom
v0.7.1,2016-06-05T02:38:48Z,False,mwaskom
v0.7.0,2016-01-25T04:05:31Z,False,mwaskom
v0.6.0,2015-06-29T15:05:56Z,False,mwaskom
v0.5.1,2014-11-22T20:54:02Z,False,mwaskom
v0.5.0,2014-11-14T18:39:37Z,False,mwaskom
v0.4.0,2014-09-03T04:38:13Z,False,mwaskom
v0.3.1,2014-04-21T16:07:04Z,False,mwaskom
v0.3.0,2014-03-23T00:52:00Z,False,mwaskom
v0.2.1,2014-01-15T16:31:10Z,False,mwaskom
v0.2.0,2013-12-23T19:54:08Z,False,mwaskom
