tag_name,published_at,prerelease,author_login
v2.10.2,2020-12-21T21:18:36Z,False,jeremystretch
v2.10.1,2020-12-16T03:15:13Z,False,jeremystretch
v2.10.0,2020-12-14T19:39:52Z,False,jeremystretch
v2.9.11,2020-12-11T21:48:29Z,False,jeremystretch
v2.10-beta2,2020-12-03T14:11:08Z,True,jeremystretch
v2.9.10,2020-11-24T21:48:32Z,False,jeremystretch
v2.10-beta1,2020-11-17T21:00:21Z,True,jeremystretch
v2.9.9,2020-11-10T01:56:19Z,False,jeremystretch
v2.9.8,2020-10-30T14:39:43Z,False,jeremystretch
v2.9.7,2020-10-12T13:50:14Z,False,jeremystretch
v2.9.6,2020-10-09T17:28:41Z,False,jeremystretch
v2.9.5,2020-10-09T17:02:13Z,False,jeremystretch
v2.9.4,2020-09-23T19:38:42Z,False,jeremystretch
v2.9.3,2020-09-04T19:56:26Z,False,jeremystretch
v2.9.2,2020-08-27T18:14:41Z,False,jeremystretch
v2.9.1,2020-08-23T01:05:44Z,False,jeremystretch
v2.9.0,2020-08-21T13:54:00Z,False,jeremystretch
v2.9-beta2,2020-08-13T17:06:57Z,True,jeremystretch
v2.8.9,2020-08-04T16:40:56Z,False,jeremystretch
v2.9-beta1,2020-07-23T19:07:34Z,True,jeremystretch
v2.8.8,2020-07-21T16:22:11Z,False,jeremystretch
v2.8.7,2020-07-02T13:43:51Z,False,jeremystretch
v2.8.6,2020-06-15T18:51:27Z,False,jeremystretch
v2.8.5,2020-05-26T20:29:25Z,False,jeremystretch
v2.8.4,2020-05-13T21:31:58Z,False,jeremystretch
v2.8.3,2020-05-07T03:50:04Z,False,jeremystretch
v2.8.2,2020-05-06T19:15:21Z,False,jeremystretch
v2.8.1,2020-04-23T14:25:52Z,False,jeremystretch
v2.8.0,2020-04-13T15:30:39Z,False,jeremystretch
v2.7.12,2020-04-08T17:32:28Z,False,jeremystretch
v2.7.11,2020-03-27T16:49:22Z,False,jeremystretch
v2.7.10,2020-03-10T18:00:51Z,False,jeremystretch
v2.7.9,2020-03-06T16:24:43Z,False,jeremystretch
v2.7.8,2020-02-25T20:10:22Z,False,jeremystretch
v2.7.7,2020-02-20T20:00:57Z,False,jeremystretch
v2.7.6,2020-02-14T02:51:53Z,False,jeremystretch
v2.7.5,2020-02-13T20:37:48Z,False,jeremystretch
v2.7.4,2020-02-04T20:05:21Z,False,jeremystretch
v2.7.3,2020-01-28T21:40:58Z,False,jeremystretch
v2.7.2,2020-01-21T20:13:21Z,False,jeremystretch
v2.7.1,2020-01-17T04:47:05Z,False,jeremystretch
v2.7.0,2020-01-16T18:08:39Z,False,jeremystretch
v2.6.12,2020-01-13T18:26:11Z,False,jeremystretch
v2.6.11,2020-01-03T19:00:49Z,False,jeremystretch
v2.6.10,2020-01-02T22:07:01Z,False,jeremystretch
v2.6.9,2019-12-16T21:32:56Z,False,jeremystretch
v2.7-beta1,2019-12-12T19:41:02Z,True,jeremystretch
v2.6.8,2019-12-10T15:48:44Z,False,jeremystretch
v2.6.7,2019-11-01T19:49:23Z,False,jeremystretch
v2.6.6,2019-10-10T16:42:07Z,False,jeremystretch
v2.6.5,2019-09-25T17:28:56Z,False,jeremystretch
v2.6.4,2019-09-19T13:35:57Z,False,jeremystretch
v2.6.3,2019-09-04T20:28:20Z,False,jeremystretch
v2.6.2,2019-08-02T14:32:41Z,False,jeremystretch
v2.6.1,2019-06-25T13:42:40Z,False,jeremystretch
v2.6.0,2019-06-20T21:00:04Z,False,jeremystretch
v2.5.13,2019-05-31T13:55:39Z,False,jeremystretch
v2.5.12,2019-05-01T15:11:19Z,False,jeremystretch
v2.5.11,2019-04-29T18:26:08Z,False,jeremystretch
v2.6-beta1,2019-04-29T19:40:37Z,True,jeremystretch
v2.5.10,2019-04-08T18:28:51Z,False,jeremystretch
v2.5.9,2019-04-02T16:36:42Z,False,jeremystretch
v2.5.8,2019-03-11T17:38:38Z,False,jeremystretch
v2.5.7,2019-02-21T19:46:09Z,False,jeremystretch
v2.5.6,2019-02-13T22:12:49Z,False,jeremystretch
v2.5.5,2019-01-31T21:11:37Z,False,jeremystretch
v2.5.4,2019-01-29T21:39:52Z,False,jeremystretch
v2.5.3,2019-01-11T16:33:45Z,False,jeremystretch
v2.5.2,2018-12-21T16:47:28Z,False,jeremystretch
v2.5.1,2018-12-13T20:23:18Z,False,jeremystretch
v2.5.0,2018-12-10T15:29:11Z,False,jeremystretch
v2.4.9,2018-12-07T15:27:20Z,False,jeremystretch
v2.5-beta2,2018-11-26T21:29:39Z,True,jeremystretch
v2.4.8,2018-11-20T16:59:33Z,False,jeremystretch
v2.4.7,2018-11-06T15:56:15Z,False,jeremystretch
v2.5-beta1,2018-11-06T21:01:35Z,True,jeremystretch
v2.4.6,2018-10-05T19:49:16Z,False,jeremystretch
v2.4.5,2018-10-02T19:29:50Z,False,jeremystretch
v2.4.4,2018-08-22T15:55:17Z,False,jeremystretch
v2.4.3,2018-08-09T20:40:16Z,False,jeremystretch
v2.4.2,2018-08-08T13:17:40Z,False,jeremystretch
v2.4.1,2018-08-07T13:25:45Z,False,jeremystretch
v2.4.0,2018-08-06T16:41:26Z,False,jeremystretch
v2.3.7,2018-07-26T18:31:08Z,False,jeremystretch
v2.4-beta1,2018-07-17T15:27:16Z,True,jeremystretch
v2.3.6,2018-07-16T15:55:40Z,False,jeremystretch
v2.3.5,2018-07-02T19:56:42Z,False,jeremystretch
v2.3.4,2018-06-07T20:15:17Z,False,jeremystretch
v2.3.3,2018-04-19T15:16:34Z,False,jeremystretch
v2.3.2,2018-03-22T19:06:34Z,False,jeremystretch
v2.3.1,2018-03-01T20:37:22Z,False,jeremystretch
v2.3.0,2018-02-26T19:24:25Z,False,jeremystretch
v2.2.10,2018-02-21T21:06:42Z,False,jeremystretch
