tag_name,published_at,prerelease,author_login
networkx-2.5,2020-08-22T20:10:33Z,False,jarrodmillman
networkx-2.5rc1,2020-08-16T15:39:03Z,True,jarrodmillman
networkx-2.4,2019-10-17T02:05:42Z,False,jarrodmillman
networkx-2.4rc2,2019-10-16T16:10:37Z,True,jarrodmillman
networkx-2.4rc1,2019-10-13T02:32:28Z,True,jarrodmillman
networkx-2.3,2019-04-11T20:55:32Z,False,jarrodmillman
networkx-2.3rc3,2019-04-04T23:05:08Z,True,jarrodmillman
networkx-2.3rc2,2019-04-04T21:35:23Z,True,jarrodmillman
networkx-2.3rc1,2019-03-31T01:27:59Z,True,jarrodmillman
networkx-2.2,2018-09-19T18:48:30Z,False,jarrodmillman
networkx-2.2rc1,2018-09-11T00:25:46Z,True,jarrodmillman
networkx-2.1,2018-01-22T07:32:24Z,False,jarrodmillman
networkx-2.1rc1,2018-01-16T19:34:04Z,True,jarrodmillman
networkx-2.0,2017-09-20T17:28:53Z,False,jarrodmillman
networkx-2.0rc1,2017-09-11T23:35:20Z,True,jarrodmillman
networkx-2.0b2,2017-08-28T01:38:13Z,True,jarrodmillman
networkx-2.0b1,2017-08-18T18:22:33Z,True,jarrodmillman
networkx-1.11,2016-01-30T22:37:39Z,False,hagberg
networkx-1.11rc1,2015-12-26T17:18:34Z,True,hagberg
networkx-1.10,2015-08-02T16:52:25Z,False,hagberg
networkx-1.10rc2,2015-06-27T17:01:36Z,True,ysitu
networkx-1.10rc1,2015-06-12T00:31:59Z,True,ysitu
networkx-1.9.1,2014-09-20T18:47:56Z,False,hagberg
networkx-1.9.1rc1,2014-08-06T23:01:08Z,True,ysitu
networkx-1.9,2014-06-21T16:43:51Z,False,hagberg
networkx-1.9rc1,2014-06-06T17:57:41Z,True,ysitu
