tag_name,published_at,prerelease,author_login
v3.1.5,2020-08-20T08:36:13Z,False,nicolargo
v3.1.4,2020-03-11T07:26:43Z,False,nicolargo
v3.1.0,2019-01-19T16:08:26Z,False,nicolargo
v3.0.2,2018-10-14T08:16:59Z,False,nicolargo
v3.0,2018-09-05T06:31:54Z,False,nicolargo
v2.11,2017-08-27T12:10:55Z,False,nicolargo
v2.10,2017-05-26T14:36:01Z,False,nicolargo
v2.9.1,2017-04-03T16:32:53Z,False,nicolargo
v2.9.0,2017-03-27T15:33:26Z,False,nicolargo
v2.8.1_1,2017-02-06T18:39:09Z,False,nicolargo
v2.8,2017-01-21T14:44:01Z,False,nicolargo
v2.7,2016-09-10T13:20:21Z,False,nicolargo
v2.6.2,2016-05-12T09:03:02Z,False,nicolargo
v2.6.1,2016-03-26T17:11:04Z,False,nicolargo
v2.6,2016-03-16T16:59:00Z,False,nicolargo
v2.5.1,2015-10-22T20:29:03Z,False,nicolargo
v2.5,2015-10-06T08:12:26Z,False,nicolargo
v2.4.2,2015-07-21T12:02:19Z,False,nicolargo
v2.4.1,2015-07-21T12:03:02Z,False,nicolargo
v2.4,2015-07-21T12:03:53Z,False,nicolargo
