tag_name,published_at,prerelease,author_login
v1.20.0rc2,2020-12-25T03:36:03Z,True,charris
v1.20.0rc1,2020-12-03T20:58:15Z,True,charris
v1.19.4,2020-11-02T16:22:48Z,False,charris
v1.19.3,2020-10-29T01:55:54Z,False,charris
v1.19.2,2020-09-10T18:16:26Z,False,charris
v1.19.1,2020-07-21T21:30:21Z,False,charris
v1.19.0,2020-06-20T20:43:51Z,False,charris
v1.18.5,2020-06-04T00:40:07Z,False,charris
v1.19.0rc2,2020-05-31T23:36:58Z,True,charris
v1.19.0rc1,2020-05-18T19:20:52Z,True,charris
v1.18.4,2020-05-03T15:52:09Z,False,charris
v1.18.3,2020-04-19T20:28:38Z,False,charris
v1.18.2,2020-03-17T17:03:19Z,False,charris
v1.18.1,2020-01-06T22:47:14Z,False,charris
v1.17.5,2020-01-01T17:37:52Z,False,charris
v1.16.6,2019-12-29T23:56:55Z,False,charris
v1.18.0,2019-12-22T16:42:29Z,False,charris
v1.18.0rc1,2019-12-06T02:14:03Z,True,charris
v1.17.4,2019-11-11T02:14:42Z,False,charris
v1.17.3,2019-10-17T15:09:08Z,False,charris
v1.17.2,2019-09-07T00:28:11Z,False,charris
v1.16.5,2019-08-28T02:15:18Z,False,charris
v1.17.1,2019-08-27T00:58:43Z,False,charris
v1.17.0,2019-07-26T18:46:42Z,False,charris
v1.17.0rc2,2019-07-16T14:47:29Z,True,charris
v1.17.0rc1,2019-06-30T22:20:16Z,True,charris
v1.16.4,2019-05-28T19:17:52Z,False,charris
v1.16.3,2019-04-22T02:00:35Z,False,charris
v1.16.2,2019-02-26T19:37:35Z,False,charris
v1.16.1,2019-01-31T23:41:05Z,False,charris
v1.16.0,2019-01-14T03:06:32Z,False,charris
v1.16.0rc2,2019-01-05T02:16:39Z,True,charris
v1.16.0rc1,2018-12-20T15:40:14Z,True,charris
v1.15.4,2018-11-04T16:55:20Z,False,charris
v1.15.3,2018-10-22T17:45:12Z,False,charris
v1.15.2,2018-09-23T12:40:43Z,False,charris
v1.14.6,2018-09-23T17:20:07Z,False,charris
v1.15.1,2018-08-21T20:18:56Z,False,charris
v1.15.0,2018-07-23T16:38:57Z,False,charris
v1.15.0rc2,2018-07-09T21:43:04Z,True,charris
v1.15.0rc1,2018-06-21T17:01:13Z,True,charris
v1.14.5,2018-06-12T23:02:31Z,False,mattip
v1.14.4,2018-06-06T17:25:26Z,False,charris
v1.14.3,2018-04-28T16:30:26Z,False,ahaldane
v1.14.2,2018-03-12T18:13:37Z,False,charris
v1.14.1,2018-02-21T00:59:42Z,False,charris
v1.14.0,2018-01-07T00:50:41Z,False,charris
v1.14.0rc1,2017-12-13T20:57:32Z,True,charris
v1.13.3,2017-09-29T23:09:59Z,False,charris
v1.13.2,2017-09-28T03:57:32Z,False,charris
v1.13.1,2017-07-07T01:51:14Z,False,charris
v1.13.0,2017-06-07T19:06:15Z,False,charris
v1.13.0rc2,2017-05-18T21:26:53Z,True,charris
v1.13.0rc1,2017-05-11T01:17:32Z,True,charris
v1.12.1,2017-03-18T17:31:57Z,False,charris
v1.12.1rc1,2017-03-07T03:46:04Z,True,charris
v1.12.0,2017-01-15T23:38:46Z,False,charris
v1.12.0rc2,2017-01-01T23:52:41Z,True,charris
v1.12.0rc1,2016-12-20T00:42:38Z,True,charris
v1.11.3,2016-12-19T02:02:03Z,False,charris
v1.12.0b1,2016-11-17T05:08:56Z,False,charris
