tag_name,published_at,prerelease,author_login
v1.8.0,2020-11-07T00:55:30Z,False,jcwchen
v1.7.0,2020-05-09T02:44:51Z,False,chinhuang007
v1.6.0,2019-09-28T01:28:46Z,False,kevinch-nv
v1.5.0,2019-04-24T05:33:22Z,False,raymondxyang
v1.4.1,2019-01-23T23:12:43Z,False,raymondxyang
v1.4.0,2019-01-23T01:55:55Z,False,raymondxyang
v1.2.3,2018-09-10T17:59:40Z,False,raymondxyang
v1.3.0,2018-08-30T18:56:03Z,False,bddppq
v1.2.2,2018-06-18T23:18:07Z,False,raymondxyang
v1.2.1,2018-05-25T02:05:10Z,False,linkerzhang
v1.1.2,2018-04-25T23:46:59Z,False,raymondxyang
v1.1.0,2018-03-21T06:08:42Z,False,rajanksin
v1.0.1,2018-01-26T22:14:50Z,False,lupesko
v1.0,2017-12-06T21:56:28Z,False,prasanthpul
v0.2,2017-10-10T04:53:12Z,True,dzhulgakov
