tag_name,published_at,prerelease,author_login
v2.3.0,2020-11-04T04:28:46Z,False,HideakiImamura
v2.2.0,2020-10-05T04:15:15Z,False,toshihikoyanase
v2.1.0,2020-09-07T04:27:36Z,False,HideakiImamura
v2.0.0,2020-07-29T00:13:26Z,False,hvy
v2.0.0-rc0,2020-07-06T05:33:09Z,True,hvy
v1.5.0,2020-06-01T08:37:06Z,False,hvy
v1.4.0,2020-05-11T08:49:11Z,False,toshihikoyanase
v1.3.0,2020-04-02T04:54:34Z,False,hvy
v1.2.0,2020-03-05T01:53:58Z,False,hvy
v1.1.0,2020-02-06T02:17:49Z,False,hvy
v1.0.0,2020-01-14T04:21:59Z,False,hvy
v0.19.0,2019-11-18T02:41:59Z,True,sile
v0.18.1,2019-11-08T05:06:11Z,True,sile
v0.18.0,2019-11-07T03:20:15Z,True,hvy
v0.17.1,2019-10-15T02:56:30Z,True,hvy
v0.17.0,2019-10-11T02:57:08Z,True,toshihikoyanase
v0.16.0,2019-09-12T01:36:03Z,True,sile
v0.15.0,2019-08-29T01:29:58Z,True,sile
v0.14.0,2019-08-01T01:26:58Z,True,toshihikoyanase
v0.13.0,2019-07-04T01:54:32Z,True,sile
v0.12.0,2019-06-06T02:16:38Z,True,g-votte
v0.11.0,2019-05-23T02:08:18Z,True,sile
v0.10.0,2019-04-22T05:59:56Z,True,toshihikoyanase
v0.9.0,2019-03-19T08:17:44Z,True,g-votte
v0.8.0,2019-02-26T01:34:17Z,True,sile
v0.7.0,2019-01-24T04:14:52Z,True,toshihikoyanase
v0.6.0,2019-01-10T01:55:22Z,True,g-votte
v0.5.0,2018-12-14T02:12:29Z,True,sile
v0.4.0,2018-12-03T04:35:14Z,True,iwiwi
v0.3.0,2018-11-14T08:23:34Z,True,g-votte
v0.2.1,2018-09-06T10:54:21Z,True,g-votte
v0.2.0,2018-08-15T08:17:19Z,True,g-votte
v0.1.0,2018-05-10T08:42:25Z,True,iwiwi
