tag_name,published_at,prerelease,author_login
4.0.0beta,2020-11-01T13:33:05Z,True,mpenkov
3.8.3,2020-05-04T05:55:15Z,False,mpenkov
3.8.2,2020-04-12T00:17:30Z,False,mpenkov
3.8.1,2019-09-26T05:35:28Z,False,mpenkov
3.8.0,2019-07-09T07:51:06Z,False,mpenkov
3.7.3,2019-05-08T03:07:49Z,False,mpenkov
3.7.2,2019-04-10T14:22:33Z,False,mpenkov
3.7.1,2019-01-31T17:00:11Z,False,menshikh-iv
3.7.0,2019-01-18T20:16:12Z,False,menshikh-iv
3.6.0,2018-09-20T18:34:40Z,False,menshikh-iv
3.5.0,2018-07-06T13:57:44Z,False,menshikh-iv
3.4.0,2018-03-01T10:34:38Z,False,menshikh-iv
3.3.0,2018-02-02T13:50:11Z,False,menshikh-iv
3.2.0,2017-12-09T19:19:21Z,False,menshikh-iv
3.1.0,2017-11-06T16:56:05Z,False,menshikh-iv
3.0.1,2017-10-12T10:11:01Z,False,menshikh-iv
3.0.0,2017-09-27T09:00:16Z,False,menshikh-iv
2.3.0,2017-07-25T14:11:28Z,False,menshikh-iv
2.2.0,2017-06-21T17:05:02Z,False,menshikh-iv
2.1.0,2017-05-12T11:49:27Z,False,menshikh-iv
2.0.0,2017-04-10T23:45:51Z,False,tmylk
1.0.1,2017-03-04T00:29:48Z,False,tmylk
1.0.0,2017-02-24T22:50:59Z,False,tmylk
1.0.0rc2,2017-02-17T00:06:12Z,True,tmylk
0.13.4.1,2017-01-04T02:00:44Z,False,tmylk
0.13.4,2016-12-25T12:08:27Z,False,tmylk
0.13.3,2016-10-21T13:01:26Z,False,tmylk
0.13.2,2016-08-26T15:32:42Z,False,tmylk
0.13.1,2016-06-23T00:19:01Z,False,tmylk
0.13.0,2016-06-22T03:33:44Z,False,tmylk
0.13.0rc1,2016-06-10T04:32:39Z,True,tmylk
0.12.4,2016-01-31T10:00:08Z,False,tmylk
0.12.3,2015-11-06T14:40:06Z,False,tmylk
0.12.3rc1,2015-11-05T19:13:08Z,True,tmylk
