tag_name,published_at,prerelease,author_login
v4.14.1,2020-12-09T13:48:45Z,False,nicolaskruchten
v4.14.0,2020-12-07T15:01:09Z,False,nicolaskruchten
v4.13.0,2020-11-23T13:51:35Z,False,nicolaskruchten
v4.12.0,2020-10-23T13:32:48Z,False,nicolaskruchten
v4.11.0,2020-10-01T14:11:02Z,False,nicolaskruchten
v4.10.0,2020-09-10T13:15:18Z,False,nicolaskruchten
v4.9.0,2020-07-16T13:30:38Z,False,nicolaskruchten
v4.8.2,2020-06-26T19:46:05Z,False,nicolaskruchten
v4.8.1,2020-05-29T03:17:41Z,False,nicolaskruchten
v4.8.0,2020-05-26T14:21:41Z,False,nicolaskruchten
v4.7.1,2020-05-08T13:10:40Z,False,nicolaskruchten
v4.7.0,2020-05-06T16:26:21Z,False,nicolaskruchten
v4.6.0,2020-04-09T14:53:26Z,False,nicolaskruchten
v4.5.4,2020-03-11T20:38:08Z,False,nicolaskruchten
v4.5.3,2020-03-06T04:18:32Z,False,nicolaskruchten
v4.5.2,2020-02-25T05:11:13Z,False,nicolaskruchten
v4.5.1,2020-02-19T21:53:30Z,False,nicolaskruchten
v4.5.0,2020-01-22T20:11:39Z,False,nicolaskruchten
v4.4.1,2019-12-10T16:55:59Z,False,jonmmease
v4.4.0,2019-12-10T14:40:00Z,False,jonmmease
v4.3.0,2019-11-12T11:11:10Z,False,jonmmease
v4.2.1,2019-10-18T21:59:56Z,False,jonmmease
v4.2.0,2019-10-16T22:51:37Z,False,jonmmease
v4.1.0,2019-08-07T00:47:18Z,False,jonmmease
v4.0.0,2019-07-17T21:59:45Z,False,jonmmease
v3.10.0,2019-05-31T19:48:01Z,False,jonmmease
v3.9.0,2019-05-06T23:06:50Z,False,jonmmease
v3.8.1,2019-04-19T14:00:43Z,False,jonmmease
v3.8.0,2019-04-15T12:45:21Z,False,jonmmease
v3.7.1,2019-03-25T10:29:13Z,False,jonmmease
v3.7.0,2019-03-08T15:01:04Z,False,jonmmease
v3.6.1,2019-02-09T00:16:59Z,False,jonmmease
v3.6.0,2019-02-01T23:02:46Z,False,jonmmease
v3.5.0,2019-02-01T23:01:07Z,False,jonmmease
v3.4.2,2018-11-23T16:26:24Z,False,jonmmease
v3.4.1,2018-11-09T13:32:38Z,False,jonmmease
v3.4.0,2018-11-02T15:49:47Z,False,jonmmease
v3.3.0,2018-09-28T11:33:55Z,False,jonmmease
v3.2.1,2018-09-14T14:19:03Z,False,jonmmease
v3.2.0,2018-09-05T14:15:59Z,False,jonmmease
v3.1.1,2018-09-05T12:54:10Z,False,jonmmease
v3.1.0,2018-09-05T12:52:47Z,False,jonmmease
v3.0.2,2018-09-05T12:43:30Z,False,jonmmease
v3.0.0,2018-09-05T12:51:47Z,False,jonmmease
v2.0.0,2017-01-25T23:52:01Z,False,theengineear
v2.0.0-pre,2017-01-19T09:10:52Z,True,theengineear
v1.13.0,2017-01-12T00:20:51Z,False,theengineear
1.6.12,2015-03-13T21:48:10Z,False,theengineear
1.6.8,2015-02-21T20:56:57Z,False,chriddyp
1.6.7,2015-02-20T21:01:39Z,False,chriddyp
