tag_name,published_at,prerelease,author_login
2.8.1,2020-05-20T11:57:20Z,False,PH111P
2.8,2020-05-14T20:40:57Z,False,PH111P
2.7,2018-08-12T19:43:15Z,False,ZyX-I
2.6,2017-05-08T16:50:01Z,False,ZyX-I
2.5.2,2017-02-05T10:47:27Z,False,ZyX-I
2.5.1,2017-02-05T10:46:58Z,False,ZyX-I
2.5,2016-12-16T15:05:01Z,False,ZyX-I
2.4,2016-04-18T22:49:00Z,False,ZyX-I
2.3,2015-10-20T09:49:28Z,False,ZyX-I
2.2,2015-06-26T22:48:24Z,False,ZyX-I
2.1.4,2015-05-10T20:14:07Z,False,ZyX-I
2.1.3,2015-05-10T19:29:43Z,False,ZyX-I
2.1.1,2015-05-10T14:49:08Z,False,ZyX-I
2.1,2015-02-18T23:54:46Z,False,ZyX-I
2.0,2015-01-18T14:20:44Z,False,ZyX-I
1.3.1,2014-12-06T13:13:21Z,False,ZyX-I
1.3,2014-11-30T00:51:24Z,False,ZyX-I
1.2,2014-10-12T13:18:12Z,False,ZyX-I
1.1,2014-09-21T12:23:12Z,False,ZyX-I
1.0,2014-09-05T18:56:59Z,False,ZyX-I
