tag_name,published_at,prerelease,author_login
v2.9.3,2020-12-07T23:08:20Z,False,asottile
v2.9.2,2020-11-26T02:41:52Z,False,asottile
v2.9.1,2020-11-25T21:41:57Z,False,asottile
v2.9.0,2020-11-21T21:55:58Z,False,asottile
v2.8.2,2020-11-01T16:38:54Z,False,asottile
v2.8.1,2020-10-29T06:05:46Z,False,asottile
v2.8.0,2020-10-29T05:01:52Z,False,asottile
v2.7.1,2020-09-10T23:07:11Z,False,asottile
v2.7.0,2020-08-22T23:51:05Z,False,asottile
v2.6.0,2020-07-01T19:43:04Z,False,asottile
v2.5.1,2020-06-09T21:21:12Z,False,asottile
v2.5.0,2020-06-08T22:19:28Z,False,asottile
v2.4.0,2020-05-11T19:33:57Z,False,asottile
v2.3.0,2020-04-22T21:17:26Z,False,asottile
v2.2.0,2020-03-12T19:38:55Z,False,asottile
v2.1.1,2020-02-24T17:10:08Z,False,asottile
v2.1.0,2020-02-18T18:55:23Z,False,asottile
v2.0.1,2020-01-30T02:48:05Z,False,asottile
v2.0.0,2020-01-29T02:41:15Z,False,asottile
v1.21.0,2020-01-02T17:48:38Z,False,asottile
v1.20.0,2019-10-28T23:31:36Z,False,asottile
v1.19.0,2019-10-26T19:50:11Z,False,asottile
v1.18.3,2019-08-27T17:40:09Z,False,asottile
v1.18.2,2019-08-15T17:08:52Z,False,asottile
v1.18.1,2019-08-11T21:10:12Z,False,asottile
v1.18.0,2019-08-03T22:24:00Z,False,asottile
v1.17.0,2019-06-06T15:31:35Z,False,asottile
v1.16.1,2019-05-08T15:27:34Z,False,asottile
v1.16.0,2019-05-04T15:42:28Z,False,asottile
v1.15.2,2019-04-16T18:34:21Z,False,asottile
v1.15.1,2019-04-01T17:23:46Z,False,asottile
v1.15.0,2019-03-30T23:15:41Z,False,asottile
v1.14.4,2019-02-18T17:15:08Z,False,asottile
v1.14.3,2019-02-04T16:44:54Z,False,asottile
v1.14.2,2019-01-11T00:05:17Z,False,asottile
v1.14.1,2019-01-10T18:22:37Z,False,asottile
v1.14.0,2019-01-08T19:00:48Z,False,asottile
v1.13.0,2018-12-20T20:08:00Z,False,asottile
v1.12.0,2018-10-23T17:58:34Z,False,asottile
v1.11.2,2018-10-11T03:45:45Z,False,asottile
v1.11.1,2018-09-22T19:04:30Z,False,asottile
v1.11.0,2018-09-03T02:58:35Z,False,asottile
v1.10.5,2018-08-06T21:04:21Z,False,asottile
v1.10.4,2018-07-22T15:49:42Z,False,asottile
v1.10.3,2018-07-02T18:05:02Z,False,asottile
v1.10.2,2018-06-11T20:31:56Z,False,asottile
v1.10.1,2018-05-29T00:29:05Z,False,asottile
v1.10.0,2018-05-26T20:41:03Z,False,asottile
v1.9.0,2018-05-22T03:49:22Z,False,asottile
v1.8.2,2018-03-18T03:40:59Z,False,asottile
v1.8.1,2018-03-12T22:35:26Z,False,asottile
v1.8.0,2018-03-12T03:20:27Z,False,asottile
v1.7.0,2018-03-04T00:32:52Z,False,asottile
v1.6.0,2018-02-04T20:27:18Z,False,asottile
v1.5.1,2018-01-24T17:47:29Z,False,asottile
v1.5.0,2018-01-14T04:02:56Z,False,asottile
v1.4.5,2018-01-09T18:35:47Z,False,asottile
v1.4.4,2018-01-08T05:29:07Z,False,asottile
v1.4.3,2018-01-03T03:36:40Z,False,asottile
v1.4.2,2018-01-02T22:16:10Z,False,asottile
v1.4.1,2017-11-09T16:37:51Z,False,asottile
v1.4.0,2017-11-08T20:08:50Z,False,asottile
v1.3.0,2017-10-08T22:09:19Z,False,asottile
v1.2.0,2017-10-04T04:20:39Z,False,asottile
v1.1.2,2017-09-20T12:52:05Z,False,asottile
v1.1.1,2017-09-18T00:08:21Z,False,asottile
v1.1.0,2017-09-11T16:09:30Z,False,asottile
v1.0.1,2017-09-07T16:58:14Z,False,asottile
v1.0.0,2017-09-07T15:53:30Z,False,asottile
