tag_name,published_at,prerelease,author_login
v1.7.3,2020-11-30T23:42:24Z,False,samuelcolvin
v1.7.2,2020-11-01T15:32:14Z,False,samuelcolvin
v1.7.1,2020-10-28T19:28:36Z,False,samuelcolvin
v1.7,2020-10-26T12:02:36Z,False,samuelcolvin
v1.6.1,2020-07-15T19:25:30Z,False,samuelcolvin
v1.6,2020-07-11T12:04:12Z,False,samuelcolvin
v1.5.1,2020-04-23T12:45:16Z,False,samuelcolvin
v1.5,2020-04-18T17:09:44Z,False,samuelcolvin
v1.4,2020-01-24T11:22:55Z,False,samuelcolvin
v1.3,2019-12-21T15:55:21Z,False,samuelcolvin
v1.2,2019-11-28T17:53:49Z,False,samuelcolvin
v1.1.1,2019-11-20T16:33:21Z,False,samuelcolvin
v1.1,2019-11-07T15:22:31Z,False,samuelcolvin
v1.0,2019-10-23T11:12:23Z,False,samuelcolvin
v1.0b2,2019-10-07T17:48:34Z,True,samuelcolvin
v1.0b1,2019-10-01T16:42:44Z,True,samuelcolvin
v0.32.2,2019-08-17T19:04:43Z,False,samuelcolvin
v0.32.1,2019-08-08T11:09:24Z,False,samuelcolvin
v0.32,2019-08-06T14:44:08Z,False,samuelcolvin
v0.31.1,2019-07-31T11:20:14Z,False,samuelcolvin
v0.31,2019-07-24T17:49:41Z,False,samuelcolvin
v0.30.1,2019-07-15T18:29:22Z,False,samuelcolvin
v0.30,2019-07-07T10:13:52Z,False,samuelcolvin
v0.29,2019-06-19T10:48:23Z,False,samuelcolvin
v0.28,2019-06-11T07:01:28Z,False,samuelcolvin
v0.27,2019-05-30T15:36:11Z,False,samuelcolvin
v0.27a1,2019-05-26T12:33:33Z,True,samuelcolvin
v0.26,2019-05-22T13:11:34Z,False,samuelcolvin
v0.25,2019-05-05T13:10:52Z,False,samuelcolvin
v0.24,2019-04-23T14:16:41Z,False,samuelcolvin
v0.23,2019-04-04T13:06:54Z,False,samuelcolvin
v0.22,2019-03-29T10:25:36Z,False,samuelcolvin
v0.21,2019-03-15T12:51:37Z,False,samuelcolvin
v0.20.1,2019-02-26T09:29:36Z,False,samuelcolvin
v0.20,2019-02-18T08:46:03Z,False,samuelcolvin
v0.20a1,2019-02-13T15:50:29Z,True,samuelcolvin
v0.19,2019-02-04T22:10:39Z,False,samuelcolvin
v0.18.2,2019-01-22T18:34:52Z,False,samuelcolvin
v0.18.1,2019-01-17T21:04:59Z,False,samuelcolvin
v0.18,2019-01-13T09:17:59Z,False,samuelcolvin
V0.17,2018-12-27T22:27:46Z,False,samuelcolvin
v0.16.1,2018-12-10T10:04:07Z,False,samuelcolvin
v0.16,2018-12-03T12:49:16Z,False,samuelcolvin
v0.15,2018-11-18T16:25:40Z,False,samuelcolvin
v0.14,2018-10-02T16:52:16Z,False,samuelcolvin
v0.13.1,2018-09-21T09:53:57Z,False,samuelcolvin
v0.13,2018-08-25T16:20:06Z,False,samuelcolvin
v0.12.1,2018-07-31T18:46:30Z,False,Gr1N
v0.12,2018-07-31T13:04:34Z,False,samuelcolvin
v0.11.2,2018-07-05T13:50:42Z,False,samuelcolvin
v0.11.1,2018-07-02T17:14:03Z,False,Gr1N
v0.11,2018-06-28T18:52:29Z,False,samuelcolvin
v0.10,2018-06-11T12:12:41Z,False,samuelcolvin
v0.9.1,2018-05-10T15:09:00Z,False,samuelcolvin
v0.9,2018-04-28T18:50:59Z,False,samuelcolvin
v0.8,2018-03-25T17:33:56Z,False,samuelcolvin
v0.7.1,2018-02-07T17:32:59Z,False,samuelcolvin
v0.7,2018-02-06T19:39:06Z,False,samuelcolvin
v0.6.4,2018-02-01T17:23:49Z,False,samuelcolvin
v0.6.3,2017-11-26T16:52:41Z,False,samuelcolvin
v0.6.2,2017-11-13T15:34:47Z,False,samuelcolvin
v0.6.1,2017-11-08T14:42:28Z,False,samuelcolvin
v0.6,2017-11-07T13:36:28Z,False,samuelcolvin
v0.5,2017-10-23T19:12:48Z,False,samuelcolvin
v0.4,2017-07-08T18:24:06Z,False,samuelcolvin
v0.3,2017-06-21T17:28:33Z,False,samuelcolvin
v0.2.1,2017-06-07T22:45:47Z,False,samuelcolvin
v0.2,2017-06-07T22:13:11Z,False,samuelcolvin
v0.1,2017-06-03T16:51:12Z,False,samuelcolvin
v0.0.8,2017-05-31T12:53:51Z,False,samuelcolvin
v0.0.7,2017-05-31T11:19:00Z,False,samuelcolvin
v0.0.6,2017-05-23T18:15:58Z,False,samuelcolvin
v0.0.5,2017-05-11T21:26:53Z,False,samuelcolvin
v0.0.4,2017-05-10T12:09:36Z,False,samuelcolvin
v0.0.3,2017-05-09T16:00:33Z,False,samuelcolvin
v0.0.2,2017-05-06T14:52:13Z,False,samuelcolvin
