tag_name,published_at,prerelease,author_login
v4.1,2020-11-18T13:20:25Z,False,htgoebel
v4.0,2020-08-09T11:44:17Z,False,htgoebel
v3.6,2020-01-09T18:16:07Z,False,htgoebel
v3.5,2019-07-09T19:25:28Z,False,htgoebel
v3.4,2018-09-09T19:15:53Z,False,htgoebel
v3.3.1,2017-12-15T18:08:03Z,False,htgoebel
v3.3,2017-09-21T18:03:04Z,False,htgoebel
v3.2.1,2017-01-15T20:35:30Z,False,htgoebel
v3.2,2016-05-03T18:59:28Z,False,htgoebel
v3.1.1,2016-01-31T20:30:34Z,False,htgoebel
v3.1,2016-01-09T20:13:49Z,False,htgoebel
3.0,2015-10-04T15:19:02Z,False,matysek
3.0.dev8,2015-10-03T13:11:33Z,True,matysek
3.0.dev7,2015-10-01T11:19:07Z,True,matysek
3.0.dev6,2015-09-30T21:44:47Z,True,matysek
3.0.dev2,2015-09-18T18:16:27Z,True,matysek
v2.1,2013-09-27T21:53:53Z,False,matysek
v2.0,2015-09-22T10:00:37Z,False,matysek
v1.5.1,2015-09-22T10:01:36Z,False,matysek
v1.5.1-rc1,2015-09-22T10:02:06Z,True,matysek
v1.5,2015-09-22T10:03:19Z,False,matysek
v1.4,2015-09-22T10:04:32Z,False,matysek
v1.3,2015-09-22T10:05:23Z,False,matysek
v1.2,2015-09-22T10:06:15Z,False,matysek
v1.1,2015-09-22T10:06:56Z,False,matysek
v1.0,2015-09-22T10:08:35Z,False,matysek
