tag_name,published_at,prerelease,author_login
v2020.11.15,2020-11-15T04:16:56Z,False,github-actions[bot]
v2020.11.4,2020-11-04T12:39:18Z,False,github-actions[bot]
v2020.8.13,2020-08-13T13:29:00Z,False,github-actions[bot]
v2020.6.2,2020-06-02T06:15:37Z,False,github-actions[bot]
v2020.5.28,2020-05-28T04:52:05Z,False,github-actions[bot]
v2020.4.1b2,2020-05-20T20:40:10Z,False,github-actions[bot]
v2020.4.1b1,2020-04-29T04:03:48Z,False,github-actions[bot]
v2020.4.1a2,2020-04-29T00:56:41Z,False,github-actions[bot]
v2018.11.26,2018-11-26T07:14:43Z,False,techalchemy
v2018.11.14,2018-11-15T00:02:15Z,False,techalchemy
v2018.10.13,2018-11-15T00:03:36Z,False,techalchemy
v2018.10.9,2018-10-09T07:28:26Z,False,techalchemy
v2018.7.1,2018-07-01T21:27:57Z,False,techalchemy
v2018.6.25,2018-06-25T15:28:50Z,False,techalchemy
