tag_name,published_at,prerelease,author_login
0.15.6.0,2020-10-17T22:50:20Z,False,itsayellow
0.15.5.1,2020-08-27T19:47:17Z,False,itsayellow
0.15.5.0,2020-08-22T23:43:33Z,False,itsayellow
0.15.4.0,2020-05-27T05:33:02Z,False,cs01
0.15.3.1,2020-05-18T05:58:05Z,False,cs01
0.15.1.3,2020-01-21T04:10:21Z,False,itsayellow
0.15.1.2,2020-01-08T22:31:57Z,False,itsayellow
0.15.1.1,2020-01-08T19:33:56Z,False,itsayellow
0.15.1.0,2020-01-07T02:01:38Z,False,cs01
0.15.0.0,2020-01-05T17:31:49Z,False,cs01
0.14.0.0,2019-08-11T03:16:50Z,False,cs01
0.13.2.2,2019-08-03T16:04:00Z,False,cs01
0.13.2.1,2019-08-01T16:55:58Z,False,cs01
