tag_name,published_at,prerelease,author_login
8.0.1,2020-10-22T19:19:42Z,False,hugovk
8.0.0,2020-10-14T18:22:56Z,False,hugovk
7.2.0,2020-06-30T10:48:24Z,False,radarhere
7.1.2,2020-04-25T18:37:29Z,False,hugovk
7.1.1,2020-04-02T18:11:20Z,False,hugovk
7.1.0,2020-04-01T15:54:02Z,False,hugovk
7.0.0,2020-01-02T09:26:31Z,False,radarhere
6.2.2,2020-01-02T09:25:59Z,False,radarhere
6.2.1,2019-10-21T18:03:33Z,False,hugovk
6.2.0,2019-10-01T20:40:51Z,False,radarhere
6.1.0,2019-07-03T05:46:33Z,False,hugovk
6.0.0,2019-04-02T00:09:37Z,False,radarhere
5.4.1,2019-01-06T18:39:40Z,False,hugovk
5.4.0,2019-01-01T18:24:09Z,False,hugovk
5.3.0,2018-10-01T08:37:57Z,False,radarhere
5.2.0,2018-07-18T09:22:04Z,False,radarhere
5.1.0,2018-04-02T18:43:51Z,False,wiredfool
5.0.0,2018-01-02T11:44:20Z,False,wiredfool
4.3.0,2017-10-09T13:43:39Z,False,wiredfool
4.2.1,2017-07-06T17:34:42Z,False,wiredfool
4.2.0,2017-07-01T13:39:33Z,False,wiredfool
4.1.1,2017-04-28T15:46:39Z,False,wiredfool
4.1.0,2017-04-19T09:46:42Z,False,wiredfool
4.0.0a,2017-01-01T22:52:14Z,False,wiredfool
3.4.2,2016-10-18T19:16:22Z,False,wiredfool
3.4.1,2016-10-04T15:54:13Z,False,wiredfool
3.3.3,2016-10-04T15:54:03Z,False,wiredfool
3.4.0,2016-10-03T15:13:22Z,False,wiredfool
3.3.2,2016-10-03T15:13:36Z,False,wiredfool
3.3.1,2016-10-03T15:13:51Z,False,wiredfool
3.3.0,2016-07-01T13:07:28Z,False,wiredfool
3.2.0,2016-06-21T07:41:12Z,False,hugovk
3.1.0,2016-01-04T10:27:41Z,False,wiredfool
3.0.0,2015-10-06T18:30:35Z,False,aclark4life
