tag_name,published_at,prerelease,author_login
v13.1,2020-11-29T16:09:04Z,False,Bibo-Joshi
v13.0,2020-10-07T19:31:38Z,False,Bibo-Joshi
v12.8,2020-06-22T18:26:48Z,False,Bibo-Joshi
v12.7,2020-05-02T10:20:30Z,False,Bibo-Joshi
v12.6.1,2020-04-11T07:56:44Z,False,Bibo-Joshi
v12.6,2020-04-10T22:00:06Z,False,Bibo-Joshi
v12.5.1,2020-03-30T16:34:05Z,False,Bibo-Joshi
v12.5,2020-03-29T08:31:08Z,False,Bibo-Joshi
v12.4.2,2020-02-10T10:50:22Z,False,Eldinnie
v12.4.1,2020-02-08T13:08:28Z,False,tsnoam
v12.4.0,2020-02-08T12:20:23Z,False,tsnoam
v12.3.0,2020-01-11T19:27:56Z,False,tsnoam
v12.2.0,2019-10-14T18:17:49Z,False,tsnoam
v12.1.1,2019-09-17T08:34:37Z,False,tsnoam
v12.1.0,2019-09-13T19:35:00Z,False,tsnoam
v12.0.0,2019-08-29T19:39:53Z,False,tsnoam
v12.0.0b1,2019-02-14T12:10:39Z,True,jsmnbom
v11.1.0,2018-09-01T15:44:23Z,False,jsmnbom
v11.0.0,2018-08-29T21:50:48Z,False,jsmnbom
v10.1.0,2018-05-04T21:58:57Z,False,tsnoam
v10.0.2,2018-04-17T07:24:16Z,False,Eldinnie
v10.0.1,2018-03-05T11:54:31Z,False,Eldinnie
v10.0.0,2018-03-02T23:34:17Z,False,tsnoam
9.0.0,2017-12-08T22:18:17Z,False,Eldinnie
V8.1.1,2017-10-15T15:09:06Z,False,Eldinnie
v8.1.0,2017-10-14T21:11:27Z,False,tsnoam
v8.0.0,2017-09-01T15:24:41Z,False,Eldinnie
v7.0.1,2017-07-28T18:29:56Z,False,tsnoam
v7.0.0,2017-07-25T20:31:38Z,False,tsnoam
v6.1.0,2017-06-18T10:37:39Z,False,jh0ker
v6.0.1,2017-05-21T12:26:29Z,False,jh0ker
v6.0.0,2017-05-19T19:49:38Z,False,jh0ker
v5.3.1,2017-05-07T15:39:36Z,False,jh0ker
v5.3.0,2016-12-11T22:53:43Z,False,jh0ker
v5.2.0,2016-10-25T18:17:20Z,False,jh0ker
v5.1.1,2016-10-10T11:16:11Z,False,jh0ker
v5.1,2016-09-24T13:33:25Z,False,jh0ker
v5.0,2016-07-14T23:52:40Z,False,jh0ker
v4.3.4,2016-07-13T15:54:26Z,False,jh0ker
v4.3.3,2016-07-08T20:15:06Z,False,jh0ker
v4.3.2,2016-07-04T20:27:00Z,False,jh0ker
v4.3.1,2016-06-29T14:13:31Z,False,jh0ker
v4.3,2016-06-28T12:41:17Z,False,jh0ker
v4.2.1,2016-06-10T13:46:31Z,False,leandrotoledo
v4.2,2016-05-28T20:55:31Z,False,jh0ker
v4.1.2,2016-05-22T11:06:06Z,False,jh0ker
v4.1.1,2016-05-16T18:10:45Z,False,leandrotoledo
v4.1,2016-05-15T23:14:16Z,False,leandrotoledo
v4.0.3,2016-05-01T20:30:10Z,False,jh0ker
v4.0.1,2016-04-26T23:28:11Z,False,jh0ker
v3.4,2016-03-22T02:42:15Z,False,leandrotoledo
v3.3,2016-02-28T10:38:08Z,False,jh0ker
v3.2,2016-01-05T13:13:56Z,False,jh0ker
v3.1.2,2015-12-29T13:59:46Z,False,jh0ker
v3.1.1,2015-12-21T20:25:15Z,False,jh0ker
v3.1,2015-12-16T16:19:36Z,False,jh0ker
v3.0,2015-12-07T23:16:00Z,False,jh0ker
v2.9.2,2015-11-11T13:31:49Z,False,leandrotoledo
v2.9.1,2015-11-10T22:34:08Z,False,leandrotoledo
v2.9,2015-11-10T14:21:27Z,False,leandrotoledo
v2.8.7,2015-10-08T14:32:01Z,False,leandrotoledo
v2.8.6,2015-10-08T13:20:44Z,False,leandrotoledo
v2.8.5,2015-09-24T12:31:27Z,False,leandrotoledo
v2.8.4,2015-09-20T15:53:55Z,False,leandrotoledo
v2.8.3,2015-09-10T23:56:38Z,False,leandrotoledo
v2.8.2,2015-09-05T02:25:48Z,False,leandrotoledo
v2.8.1,2015-09-04T21:51:40Z,False,leandrotoledo
v2.8,2015-09-04T21:15:53Z,False,leandrotoledo
v2.7.1,2015-08-19T19:14:36Z,False,leandrotoledo
v2.7,2015-08-17T16:15:00Z,False,leandrotoledo
v2.6.1,2015-08-15T18:05:53Z,False,leandrotoledo
v2.6.0,2015-08-14T19:34:19Z,False,leandrotoledo
v2.5.3,2015-08-12T02:51:37Z,False,leandrotoledo
v2.5.2,2015-08-11T20:39:57Z,False,leandrotoledo
v2.5.1,2015-08-10T18:18:25Z,False,leandrotoledo
v2.5,2015-08-10T14:43:28Z,False,leandrotoledo
