tag_name,published_at,prerelease,author_login
v1.7.1,2020-12-10T17:19:58Z,False,albanD
v1.7.0,2020-10-27T16:35:58Z,False,albanD
v1.6.0,2020-07-28T17:13:18Z,False,zou3519
v1.5.1,2020-06-18T16:43:46Z,False,zou3519
v1.5.0,2020-04-21T16:26:30Z,False,zou3519
v1.4.0,2020-01-16T00:03:49Z,False,nairbv
v1.3.1,2019-11-07T17:19:44Z,False,gchanan
v1.3.0,2019-10-10T17:26:52Z,False,nairbv
v1.2.0,2019-08-08T16:06:38Z,False,gchanan
v1.1.0,2019-05-01T00:09:03Z,False,soumith
v1.0.1,2019-02-07T08:51:04Z,False,soumith
v1.0.0,2018-12-07T19:19:01Z,False,soumith
v1.0rc1,2018-10-02T06:28:33Z,True,soumith
v0.4.1,2018-07-26T19:09:19Z,False,soumith
v0.4.0,2018-04-24T20:49:48Z,False,soumith
v0.3.1,2018-02-14T00:36:58Z,False,soumith
v0.3.0,2017-12-05T01:57:11Z,False,soumith
v0.2.0,2017-08-28T14:43:31Z,False,soumith
v0.1.12,2017-05-02T22:26:49Z,False,soumith
v0.1.11,2017-03-31T16:27:41Z,False,soumith
v0.1.10,2017-03-15T05:58:21Z,False,soumith
v0.1.9,2017-02-24T13:02:03Z,False,soumith
v0.1.8,2017-02-05T02:01:26Z,False,soumith
v0.1.7,2017-02-02T12:40:39Z,False,soumith
v0.1.6,2017-02-02T12:29:07Z,False,soumith
v0.1.5,2016-11-18T10:15:32Z,True,soumith
v0.1.4,2016-10-03T22:21:00Z,True,soumith
v0.1.3,2016-09-16T11:01:19Z,True,soumith
v0.1.2,2016-09-01T05:03:16Z,True,soumith
v0.1.1,2016-09-01T05:01:36Z,True,soumith
