tag_name,published_at,prerelease,author_login
v0.8.2,2020-12-10T17:10:41Z,False,fmassa
v0.8.1,2020-10-27T21:22:05Z,False,seemethere
v0.8.0,2020-10-27T16:17:12Z,False,fmassa
v0.7.0,2020-07-28T15:04:20Z,False,fmassa
v0.6.1,2020-06-22T18:20:05Z,False,seemethere
v0.6.0,2020-04-21T14:31:00Z,False,fmassa
v0.5.0,2020-01-15T22:11:49Z,False,fmassa
v0.4.2,2019-11-07T16:33:55Z,False,fmassa
v0.4.1,2019-10-30T15:18:42Z,False,fmassa
v0.4.0,2019-08-08T15:09:09Z,False,fmassa
v0.3.0,2019-05-22T19:45:45Z,False,fmassa
v0.2.2,2019-02-26T17:13:20Z,False,fmassa
v0.2.1,2018-04-24T18:16:46Z,False,soumith
v0.2.0,2017-11-27T18:09:09Z,False,alykhantejani
v0.1.9,2017-09-11T16:15:34Z,False,soumith
v0.1.8,2017-04-03T04:53:18Z,False,soumith
v0.1.7,2017-04-03T04:41:57Z,False,soumith
v0.1.6,2017-04-03T04:40:39Z,False,soumith
v0.1.5,2017-04-03T04:35:26Z,True,soumith
