tag_name,published_at,prerelease,author_login
v10.4.0,2020-12-28T21:41:15Z,False,tfdahlin
v10.2.0,2020-12-28T19:21:32Z,False,tfdahlin
v10.1.1,2020-12-28T19:03:37Z,False,tfdahlin
v10.1.0,2020-12-10T02:07:17Z,False,tfdahlin
v10.0.0,2020-12-10T02:00:20Z,False,tfdahlin
v9.7.3,2020-12-11T15:22:41Z,False,tfdahlin
v9.7.2,2020-12-11T15:28:43Z,False,tfdahlin
v9.7.0,2020-10-31T00:50:09Z,False,RONNCC
0.3.1,2015-09-06T02:14:20Z,False,josegonzalez
0.3.0,2015-09-06T02:13:47Z,False,josegonzalez
0.2.1,2015-09-06T02:14:07Z,False,josegonzalez
