tag_name,published_at,prerelease,author_login
1.4.1,2020-10-05T15:43:07Z,False,richafrank
1.4.0,2020-07-23T01:27:20Z,False,llllllllll
v1.3.0,2018-07-17T01:52:20Z,False,ssanderson
1.2.0,2018-04-04T16:09:35Z,False,freddiev4
1.1.1,2017-07-05T21:46:08Z,False,freddiev4
1.1.0,2017-03-10T22:21:56Z,False,freddiev4
1.0.2,2016-09-07T01:36:10Z,False,ehebert
1.0.1,2016-05-27T21:54:02Z,False,ssanderson
1.0.0,2016-05-20T06:11:23Z,False,llllllllll
0.9.0,2016-03-30T01:46:26Z,False,richafrank
0.8.4,2016-03-29T20:48:55Z,False,richafrank
v0.8.3,2015-11-07T00:42:23Z,False,llllllllll
v0.8.0,2015-11-06T20:10:17Z,False,llllllllll
