tag_name,published_at,prerelease,author_login
v1.14.1,2020-12-04T19:31:23Z,False,The-Compiler
v1.14.0,2020-10-15T12:45:18Z,False,The-Compiler
v1.13.1,2020-07-17T15:05:02Z,False,The-Compiler
v1.13.0,2020-06-26T06:33:17Z,False,The-Compiler
v1.12.0,2020-06-01T13:58:37Z,False,The-Compiler
v1.11.1,2020-05-07T14:43:01Z,False,The-Compiler
v1.11.0,2020-04-27T13:54:11Z,False,The-Compiler
v1.10.2,2020-04-17T16:14:58Z,False,The-Compiler
v1.10.1,2020-02-15T13:19:03Z,False,The-Compiler
v1.10.0,2020-02-02T20:46:52Z,False,The-Compiler
v1.9.0,2020-01-08T15:31:09Z,False,The-Compiler
v1.8.3,2019-12-05T15:31:16Z,False,The-Compiler
v1.8.2,2019-11-22T17:27:56Z,False,The-Compiler
v1.8.1,2019-09-27T11:36:08Z,False,The-Compiler
v1.8.0,2019-09-25T15:45:40Z,False,The-Compiler
v1.7.0,2019-07-18T10:11:44Z,False,The-Compiler
v1.6.3,2019-06-18T09:56:25Z,False,The-Compiler
v1.6.2,2019-05-06T17:46:27Z,False,The-Compiler
v1.6.1,2019-03-20T06:00:24Z,False,The-Compiler
v1.6.0,2019-02-25T12:52:57Z,False,The-Compiler
v1.5.2,2018-10-26T08:22:05Z,False,The-Compiler
v1.5.1,2018-10-10T06:24:47Z,False,The-Compiler
v1.5.0,2018-10-03T14:00:23Z,False,The-Compiler
v1.4.2,2018-09-02T13:03:04Z,False,The-Compiler
v1.4.1,2018-07-11T15:18:38Z,False,The-Compiler
v1.4.0,2018-07-03T13:47:32Z,False,The-Compiler
v1.3.3,2018-06-21T21:34:23Z,False,The-Compiler
v1.3.2,2018-06-10T14:00:47Z,False,The-Compiler
v1.3.1,2018-05-29T09:16:01Z,False,The-Compiler
v1.3.0,2018-05-04T05:53:59Z,False,The-Compiler
v1.2.1,2018-03-14T19:20:56Z,False,The-Compiler
v1.2.0,2018-03-09T21:42:13Z,False,The-Compiler
v1.1.2,2018-03-01T08:16:48Z,False,The-Compiler
v1.1.1,2018-01-20T18:22:57Z,False,The-Compiler
v1.1.0,2018-01-15T18:42:04Z,False,The-Compiler
v1.0.4,2017-11-28T10:02:26Z,False,The-Compiler
v1.0.3,2017-11-04T16:01:46Z,False,The-Compiler
v1.0.2,2017-10-17T05:49:19Z,False,The-Compiler
v1.0.1,2017-10-13T07:25:50Z,False,The-Compiler
v1.0.0,2017-10-12T08:16:35Z,False,The-Compiler
v0.11.1,2017-10-09T06:38:44Z,False,The-Compiler
v0.11.0,2017-07-04T16:52:33Z,False,The-Compiler
v0.10.1,2017-03-08T05:28:34Z,False,The-Compiler
v0.10.0,2017-02-25T20:53:12Z,False,The-Compiler
v0.9.1,2017-01-13T17:28:35Z,False,The-Compiler
v0.9.0,2016-12-28T22:57:29Z,False,The-Compiler
v0.8.4,2016-11-05T23:45:50Z,False,The-Compiler
v0.8.3,2016-11-05T22:13:12Z,False,The-Compiler
v0.8.2,2016-08-02T16:46:45Z,False,The-Compiler
v0.8.1,2016-07-27T10:35:38Z,False,The-Compiler
v0.8.0,2016-07-26T11:39:02Z,False,The-Compiler
v0.7.0,2016-06-10T13:28:17Z,False,The-Compiler
v0.6.2,2016-04-30T16:19:09Z,False,The-Compiler
v0.6.1,2016-04-10T19:18:13Z,False,The-Compiler
v0.6.0,2016-04-04T16:35:31Z,False,The-Compiler
v0.5.1,2016-01-18T21:15:43Z,False,The-Compiler
v0.5.0,2016-01-05T18:49:36Z,False,The-Compiler
v0.4.1,2015-09-30T17:12:07Z,False,The-Compiler
v0.4.0,2015-09-11T16:51:25Z,False,The-Compiler
v0.3.0,2015-06-28T11:46:33Z,False,The-Compiler
v0.2.1,2015-04-19T18:02:17Z,False,The-Compiler
v0.2.0,2015-04-19T16:34:21Z,False,The-Compiler
v0.1.4,2015-03-19T05:54:50Z,False,The-Compiler
v0.1.3,2015-02-12T05:45:05Z,False,The-Compiler
v0.1.2,2015-01-10T09:55:33Z,False,The-Compiler
v0.1.1,2014-12-28T22:45:27Z,False,The-Compiler
v0.1,2014-12-14T20:58:07Z,False,The-Compiler
