tag_name,published_at,prerelease,author_login
ray-1.1.0,2020-12-24T10:07:58Z,False,mfitton
ray-1.0.1.post1,2020-11-19T22:43:00Z,False,edoakes
ray-1.0.1,2020-11-10T02:50:05Z,False,wuisawesome
ray-1.0.0,2020-09-30T15:15:30Z,False,barakmich
ray-0.8.7,2020-08-13T17:15:36Z,False,rkooo567
ray-0.8.6,2020-06-24T16:34:54Z,False,rkooo567
ray-0.8.5,2020-05-07T17:35:20Z,False,rkooo567
ray-0.8.4,2020-04-02T17:44:50Z,False,simon-mo
ray-0.8.3,2020-03-25T21:28:05Z,False,simon-mo
ray-0.8.2,2020-02-24T19:28:20Z,False,simon-mo
ray-0.8.1,2020-01-27T22:23:08Z,False,edoakes
ray-0.8.0,2019-12-18T00:01:09Z,False,ericl
ray-0.7.7,2019-12-16T00:52:31Z,False,edoakes
ray-0.7.6,2019-10-24T18:00:22Z,False,edoakes
ray-0.7.5,2019-09-25T00:07:24Z,False,ericl
ray-0.7.4,2019-09-05T23:11:39Z,False,pcmoritz
ray-0.7.3,2019-08-04T02:37:54Z,False,simon-mo
ray-0.7.2,2019-07-03T05:57:19Z,False,simon-mo
ray-0.7.1,2019-06-23T21:35:15Z,False,richardliaw
ray-0.7.0,2019-05-18T22:13:25Z,False,devin-petersohn
ray-0.6.6,2019-04-19T05:47:20Z,False,devin-petersohn
ray-0.6.5,2019-03-25T21:18:48Z,False,robertnishihara
ray-0.6.4,2019-03-06T01:03:05Z,False,pcmoritz
ray-0.6.3,2019-03-06T00:11:42Z,False,stephanie-wang
ray-0.6.2,2019-01-17T09:13:23Z,False,richardliaw
ray-0.6.1,2018-12-24T03:32:41Z,False,atumanov
ray-0.6.0,2018-12-01T20:04:57Z,False,robertnishihara
ray-0.5.3,2018-09-28T16:36:56Z,False,robertnishihara
ray-0.5.2,2018-08-29T21:44:05Z,False,robertnishihara
ray-0.5.0,2018-07-07T05:32:15Z,False,pcmoritz
ray-0.4.0,2018-03-27T05:37:52Z,False,pcmoritz
ray-0.3.1,2018-02-04T21:37:42Z,False,pcmoritz
ray-0.3.0,2017-11-28T07:03:21Z,False,pcmoritz
ray-0.2.2,2017-11-02T03:42:59Z,False,pcmoritz
ray-0.2.1,2017-10-01T21:47:58Z,False,robertnishihara
ray-0.2.0,2017-08-31T06:58:42Z,False,robertnishihara
ray-0.1.2,2017-06-27T05:37:19Z,False,pcmoritz
ray-0.1.1,2017-06-27T05:31:37Z,False,pcmoritz
ray-0.1.0,2017-05-21T06:27:36Z,False,pcmoritz
