tag_name,published_at,prerelease,author_login
v4.0b1,2020-11-30T19:25:01Z,True,pekkaklarck
v3.2.2,2020-09-01T18:17:36Z,False,pekkaklarck
v3.2.1,2020-07-30T11:48:48Z,False,pekkaklarck
v3.2,2020-04-27T13:27:22Z,False,pekkaklarck
v3.2rc2,2020-04-27T13:25:28Z,True,pekkaklarck
v3.2rc1,2020-04-03T18:55:29Z,True,pekkaklarck
v3.2b2,2020-02-14T10:24:31Z,True,pekkaklarck
v3.2b1,2020-01-13T10:41:34Z,True,pekkaklarck
v3.2a1,2019-11-12T14:34:49Z,True,pekkaklarck
v3.1.2,2019-05-24T08:22:44Z,False,pekkaklarck
v3.1.2rc1,2019-05-16T21:04:06Z,True,pekkaklarck
v3.1.1,2019-01-08T14:48:34Z,False,pekkaklarck
v3.1.1rc1,2018-12-31T15:55:22Z,True,pekkaklarck
v3.1,2018-12-06T17:38:42Z,False,pekkaklarck
v3.1rc2,2018-12-03T21:51:45Z,True,pekkaklarck
v3.1rc1,2018-11-25T14:52:32Z,True,pekkaklarck
v3.1b1,2018-10-26T19:13:33Z,True,pekkaklarck
v3.1a2,2018-10-26T19:12:23Z,True,pekkaklarck
v3.1a1,2018-06-06T21:39:32Z,True,pekkaklarck
v3.0.4,2018-04-25T20:37:06Z,False,pekkaklarck
v3.0.4rc1,2018-04-22T21:05:14Z,True,pekkaklarck
v3.0.3,2018-04-06T22:37:56Z,False,pekkaklarck
v3.0.3rc1,2018-03-30T18:18:26Z,True,pekkaklarck
3.0.2,2017-02-07T06:49:01Z,False,pekkaklarck
3.0.1,2017-02-07T06:49:26Z,False,pekkaklarck
3.0,2015-12-31T10:55:11Z,False,pekkaklarck
3.0b1,2015-12-22T22:42:04Z,True,pekkaklarck
3.0a2,2015-12-10T15:47:38Z,True,jussimalinen
3.0a1,2015-11-19T15:50:39Z,True,pekkaklarck
2.9.2,2015-10-09T09:12:20Z,False,jussimalinen
2.9.1,2015-08-28T13:16:31Z,False,pekkaklarck
2.9,2015-07-30T23:42:55Z,False,pekkaklarck
2.9rc1,2015-07-14T23:08:28Z,True,pekkaklarck
2.9b2,2015-07-02T12:33:34Z,True,jussimalinen
2.9b1,2015-06-26T12:12:27Z,True,jussimalinen
2.9a3,2015-06-18T09:56:01Z,True,jussimalinen
2.9a2,2015-06-05T09:14:40Z,False,jussimalinen
2.9a1,2015-04-10T12:39:17Z,True,pekkaklarck
2.8.7,2015-01-16T09:52:10Z,False,jussimalinen
2.8.6,2014-10-07T15:12:32Z,False,jussimalinen
