tag_name,published_at,prerelease,author_login
v1.7.0,2020-11-29T09:48:18Z,False,selwin
v1.6.1,2020-11-08T04:39:14Z,False,selwin
v1.6.0,2020-11-08T04:22:30Z,False,selwin
v1.5.2,2020-09-10T01:28:41Z,False,selwin
v1.5.1,2020-08-21T02:33:14Z,False,selwin
v1.5.0,2020-07-26T10:50:59Z,False,selwin
v1.4.3,2020-06-28T14:42:13Z,False,selwin
v1.4.2,2020-05-26T13:18:13Z,False,selwin
v1.4.1,2020-05-16T10:48:36Z,False,selwin
v1.4.0,2020-05-13T01:21:09Z,False,selwin
v1.3.0,2020-03-09T12:30:42Z,False,selwin
v1.2.2,2020-02-03T07:06:04Z,False,selwin
v1.2.1,2020-01-31T08:43:59Z,False,selwin
v1.0,2019-04-06T10:00:07Z,False,selwin
