tag_name,published_at,prerelease,author_login
3.0.0-a.4,2020-12-16T12:36:06Z,True,maarcingebala
3.0.0-a.3,2020-12-04T10:30:05Z,True,maarcingebala
3.0.0-a.2,2020-12-02T13:44:04Z,True,maarcingebala
2.11.4,2020-12-02T13:43:43Z,False,maarcingebala
3.0.0-a.1,2020-12-01T15:58:03Z,True,maarcingebala
2.11.3,2020-12-01T13:53:04Z,False,maarcingebala
3.0.0-a.0,2020-11-23T13:54:59Z,True,maarcingebala
2.11.2,2020-11-23T12:27:56Z,False,maarcingebala
2.11.1,2020-11-13T10:14:45Z,False,maarcingebala
2.11.0,2020-11-04T08:47:46Z,False,maarcingebala
2.11.0-rc.9,2020-10-23T09:47:00Z,True,maarcingebala
2.11.0-rc.8,2020-10-16T11:15:21Z,True,maarcingebala
2.11.0-rc.7,2020-10-02T11:42:29Z,True,maarcingebala
2.11.0-rc.6,2020-09-25T12:48:26Z,True,maarcingebala
2.11.0-rc.5,2020-09-10T11:15:03Z,True,maarcingebala
2.11.0-rc.4,2020-09-04T10:21:34Z,True,maarcingebala
2.11.0-rc.3,2020-08-28T13:56:54Z,True,korycins
2.11.0-rc.2,2020-08-17T10:23:58Z,True,maarcingebala
2.11.0-rc.1,2020-08-13T10:26:50Z,True,maarcingebala
2.10.2,2020-07-22T14:49:53Z,False,maarcingebala
2.10.1,2020-05-22T13:19:07Z,False,maarcingebala
2.10.0,2020-05-14T11:53:20Z,False,maarcingebala
2.10.0-rc.2,2020-05-07T12:15:01Z,True,maarcingebala
2.10.0-rc.1,2020-05-04T12:38:30Z,True,maarcingebala
2.9.1,2020-01-24T15:43:04Z,False,maarcingebala
2.9.0,2019-10-25T12:56:57Z,False,maarcingebala
2.8.0,2019-07-12T12:20:20Z,False,maarcingebala
2.7.0,2019-06-13T15:09:27Z,False,maarcingebala
2.6.0,2019-05-13T12:56:14Z,False,maarcingebala
2.5.0,2019-04-09T08:31:34Z,False,maarcingebala
2.4.0,2019-03-08T12:38:47Z,False,maarcingebala
2.3.1,2019-02-28T09:52:40Z,False,maarcingebala
2.3.0,2019-02-08T12:01:48Z,False,maarcingebala
2.2.0,2019-01-10T13:45:46Z,False,maarcingebala
2.1.0,2018-12-11T10:59:03Z,False,maarcingebala
2.0.0,2018-12-08T05:41:57Z,False,maarcingebala
v2018.09,2018-10-08T14:38:26Z,False,maarcingebala
v2018.08,2018-09-04T12:05:07Z,False,maarcingebala
v2018.06,2018-07-12T14:49:09Z,False,maarcingebala
v2018.05,2018-06-12T10:12:17Z,False,maarcingebala
v2018.04,2018-05-11T09:25:01Z,False,maarcingebala
v2018.03,2018-04-06T11:17:13Z,False,maarcingebala
v2018.02,2018-03-08T13:39:11Z,False,maarcingebala
v2018.01,2018-02-06T14:17:20Z,False,maarcingebala
v2017.12,2018-01-03T14:00:01Z,False,maarcingebala
v2017.11,2017-12-01T09:49:45Z,False,maarcingebala
v2017.10,2017-11-13T17:33:03Z,False,maarcingebala
v2017.09,2017-10-06T15:38:37Z,False,maarcingebala
v2017.07.0,2017-07-12T13:24:22Z,False,patrys
v2017.03.2,2017-03-17T15:38:25Z,False,maarcingebala
v2017.03.1,2017-03-02T17:19:50Z,False,patrys
v2017.03.0,2017-03-02T16:02:03Z,False,krzysztofwolski
v2017.02.1,2017-03-01T12:04:12Z,False,krzysztofwolski
v2016.07.0,2016-08-08T12:09:19Z,False,patrys
