tag_name,published_at,prerelease,author_login
v3001.4,2020-12-16T20:54:19Z,False,frogunder
v3000.6,2020-12-16T20:53:48Z,False,frogunder
v2019.2.8,2020-12-16T20:52:47Z,False,frogunder
v3002.2,2020-11-18T21:00:28Z,False,frogunder
v3002.1,2020-11-03T18:35:16Z,False,frogunder
v3002,2020-10-22T00:30:10Z,False,frogunder
v3001.3,2020-11-03T18:34:49Z,False,frogunder
v3000.5,2020-11-03T18:33:54Z,False,frogunder
v2019.2.7,2020-11-03T18:28:56Z,False,frogunder
v3001.2,2020-11-03T18:34:22Z,False,frogunder
v3000.4,2020-11-03T18:33:16Z,False,frogunder
v2019.2.6,2020-11-03T18:28:20Z,False,frogunder
v3001.1,2020-08-07T19:41:10Z,False,frogunder
v3001,2020-06-17T19:08:17Z,False,frogunder
v3000.3,2020-05-13T19:16:05Z,False,frogunder
v2019.2.5,2020-05-13T19:15:03Z,False,frogunder
v3000.2,2020-04-29T19:55:26Z,False,frogunder
v2019.2.4,2020-04-29T19:54:34Z,False,frogunder
v3000.1,2020-04-01T18:20:24Z,False,frogunder
v3000,2020-02-10T17:56:02Z,False,frogunder
v2019.2.3,2020-01-14T23:08:55Z,False,frogunder
v2019.2.2,2019-10-23T20:32:44Z,False,frogunder
v2019.2.1,2019-09-25T17:41:45Z,False,frogunder
v2019.2.0,2019-02-25T16:45:52Z,False,Ch3LL
v2018.3.4,2019-02-25T16:44:11Z,False,Ch3LL
v2018.3.3,2018-10-24T16:11:45Z,False,Ch3LL
v2017.7.8,2018-10-24T16:10:52Z,False,Ch3LL
v2016.11.10,2018-10-24T16:09:27Z,False,Ch3LL
v2018.3.2,2018-06-27T16:16:49Z,False,Ch3LL
v2017.7.7,2018-07-03T15:47:03Z,False,Ch3LL
v2018.3.1,2018-06-13T17:28:23Z,False,Ch3LL
v2017.7.6,2018-06-13T17:27:25Z,False,Ch3LL
v2018.3.0,2018-04-03T16:57:16Z,False,Ch3LL
v2017.7.5,2018-04-03T16:56:22Z,False,Ch3LL
v2017.7.4,2018-02-26T18:57:18Z,False,Ch3LL
v2017.7.3,2018-02-05T20:40:39Z,False,rallytime
v2016.11.9,2018-02-05T20:39:10Z,False,rallytime
v2017.7.2,2017-10-09T17:55:52Z,False,Ch3LL
v2016.11.8,2017-10-09T17:54:33Z,False,Ch3LL
v2016.3.8,2017-10-09T17:53:14Z,False,Ch3LL
v2017.7.1,2017-08-15T18:04:08Z,False,Ch3LL
v2016.11.7,2017-08-15T18:02:13Z,False,Ch3LL
v2016.3.7,2017-08-15T17:59:40Z,False,Ch3LL
v2017.7.0,2017-08-11T13:24:19Z,False,Ch3LL
v2016.11.6,2017-06-28T18:59:42Z,False,Ch3LL
v2016.11.5,2017-05-18T18:07:49Z,False,Ch3LL
v2016.11.4,2017-04-24T20:45:18Z,False,Ch3LL
v2016.3.6,2017-03-28T21:47:01Z,False,Ch3LL
v2016.11.3,2017-03-07T16:12:26Z,False,Ch3LL
v2016.11.2,2017-01-30T23:35:07Z,False,rallytime
v2016.3.5,2017-01-30T23:34:38Z,False,rallytime
