tag_name,published_at,prerelease,author_login
0.24.0,2020-12-22T16:55:16Z,False,glemaitre
0.23.2,2020-08-04T12:59:06Z,False,ogrisel
0.23.1,2020-05-19T19:34:34Z,False,adrinjalali
0.23.0,2020-05-12T17:34:50Z,False,adrinjalali
0.22.2.post1,2020-03-04T12:07:37Z,False,jeremiedbb
0.22.1,2020-01-02T17:23:27Z,False,ogrisel
0.22,2019-12-03T12:47:32Z,False,adrinjalali
0.20.4,2019-07-30T01:27:57Z,False,jnothman
0.21.3,2019-07-30T01:28:12Z,False,jnothman
0.21.2,2019-05-23T15:01:41Z,False,jnothman
0.21.1,2019-05-15T09:36:58Z,False,jnothman
0.21.0,2019-05-10T02:40:02Z,False,jnothman
0.20.3,2019-03-02T18:07:47Z,False,jnothman
0.20.2,2018-12-20T00:01:14Z,False,jnothman
0.20.1,2018-11-25T12:33:01Z,False,jnothman
0.20.0,2018-11-22T02:33:10Z,False,amueller
0.19.2,2018-11-22T02:39:33Z,False,jnothman
0.19.1,2017-10-22T18:50:19Z,False,amueller
0.18.1,2016-11-15T19:07:41Z,False,amueller
0.18,2016-10-18T17:26:42Z,False,amueller
0.17.1-1,2016-04-17T19:05:20Z,False,amueller
