tag_name,published_at,prerelease,author_login
v1.6.0,2020-12-31T15:02:43Z,False,tylerjereddy
v1.6.0rc2,2020-12-22T22:16:32Z,True,tylerjereddy
v1.6.0rc1,2020-12-11T01:43:33Z,True,tylerjereddy
v1.5.4,2020-11-05T03:09:11Z,False,tylerjereddy
v1.5.3,2020-10-17T22:11:28Z,False,tylerjereddy
v1.5.2,2020-07-24T02:15:35Z,False,tylerjereddy
v1.5.1,2020-07-04T23:41:28Z,False,tylerjereddy
v1.5.0,2020-06-21T17:30:01Z,False,tylerjereddy
v1.5.0rc2,2020-06-14T02:36:26Z,True,tylerjereddy
v1.5.0rc1,2020-05-30T21:18:50Z,True,tylerjereddy
v1.2.3,2020-01-21T17:46:19Z,False,tylerjereddy
v1.4.1,2019-12-19T15:57:11Z,False,tylerjereddy
v1.4.0,2019-12-16T23:33:00Z,False,tylerjereddy
v1.4.0rc2,2019-12-08T20:41:08Z,True,tylerjereddy
v1.3.3,2019-11-23T21:51:19Z,False,tylerjereddy
v1.4.0rc1,2019-11-22T05:11:55Z,True,tylerjereddy
v1.3.2,2019-11-09T22:01:01Z,False,tylerjereddy
v1.3.1,2019-08-09T03:56:03Z,False,tylerjereddy
v1.2.2,2019-06-07T01:47:37Z,False,tylerjereddy
v1.3.0,2019-05-17T18:44:09Z,False,tylerjereddy
v1.3.0rc2,2019-05-09T18:13:29Z,True,tylerjereddy
v1.3.0rc1,2019-04-27T01:01:48Z,True,tylerjereddy
v1.2.1,2019-02-09T05:52:03Z,False,tylerjereddy
v1.2.0,2018-12-18T04:38:22Z,False,tylerjereddy
v1.2.0rc2,2018-12-05T18:17:31Z,True,tylerjereddy
v1.2.0rc1,2018-11-26T17:59:15Z,True,tylerjereddy
v1.1.0,2018-05-05T18:21:55Z,False,pv
v1.1.0rc1,2018-04-15T18:23:29Z,True,pv
v1.0.1,2018-03-24T19:42:32Z,False,rgommers
v1.0.0,2017-10-25T10:11:46Z,False,rgommers
v1.0.0rc2,2017-10-18T09:50:43Z,True,rgommers
v1.0.0rc1,2017-09-27T21:34:09Z,True,rgommers
v1.0.0b1,2017-09-17T10:40:40Z,True,rgommers
v0.19.1,2017-06-23T14:59:05Z,False,rgommers
v0.19.0,2017-03-09T14:58:57Z,False,ev-br
v0.19.0rc2,2017-02-24T14:21:53Z,True,ev-br
v0.19.0rc1,2017-02-15T20:24:43Z,True,ev-br
v0.18.1,2016-09-19T10:46:51Z,False,ev-br
v0.18.0-1,2016-08-17T21:06:31Z,False,pv
v0.18.0,2016-07-25T16:27:23Z,False,ev-br
v0.18.0rc2,2016-07-08T23:01:19Z,True,ev-br
v0.18.0rc1,2016-06-20T13:17:02Z,True,ev-br
v0.17.1,2016-05-12T11:40:27Z,False,ev-br
v0.17.0,2016-01-23T11:56:41Z,False,ev-br
v0.17.0rc2,2016-01-07T23:23:17Z,True,ev-br
v0.17.0rc1,2015-12-23T11:58:27Z,False,ev-br
v0.17pre,2015-11-26T20:13:11Z,True,ev-br
v0.16.1,2015-10-24T23:46:21Z,False,rgommers
v0.16.0,2015-07-24T19:24:43Z,False,rgommers
v0.16.0rc1,2015-07-04T21:25:52Z,True,rgommers
