tag_name,published_at,prerelease,author_login
v0.18.0,2020-12-14T20:02:30Z,False,dalf
v0.17.0,2020-07-09T15:40:57Z,False,asciimoo
v0.16.0,2020-01-30T12:56:44Z,False,asciimoo
v0.15.0,2019-01-06T21:34:21Z,False,kvch
v0.14.0,2018-02-18T23:24:44Z,False,asciimoo
v0.13.1,2017-11-23T17:00:59Z,False,asciimoo
v0.13.0,2017-11-21T18:35:30Z,False,asciimoo
v0.12.0,2017-06-04T11:21:27Z,False,asciimoo
v0.11.0,2017-01-10T19:59:24Z,False,asciimoo
v0.10.0,2016-09-06T16:49:16Z,False,asciimoo
v0.9.0,2016-05-24T11:39:33Z,False,asciimoo
v0.8.1,2015-12-22T22:27:15Z,False,asciimoo
v0.8.0,2015-09-08T20:21:35Z,False,asciimoo
