tag_name,published_at,prerelease,author_login
v2.4.4,2020-09-02T18:21:06Z,False,guedou
v2.4.3,2019-08-06T23:46:51Z,False,guedou
v2.4.2,2019-01-11T09:51:51Z,False,guedou
v2.4.0,2018-03-27T09:40:00Z,False,guedou
v2.2.0,2018-06-26T20:30:29Z,False,gpotter2
v2.1.1,2018-06-26T20:30:03Z,False,gpotter2
v2.1.0,2018-06-26T20:29:25Z,False,gpotter2
v2.0.0.10,2018-06-26T20:28:43Z,False,gpotter2
v1.1.1,2018-06-26T20:27:58Z,False,gpotter2
v1.0.5.20,2018-06-26T20:32:18Z,False,gpotter2
v1.0.4.106,2018-06-26T20:33:20Z,False,gpotter2
