tag_name,published_at,prerelease,author_login
0.53,2020-12-11T01:46:44Z,False,simonw
0.52.5,2020-12-09T20:10:23Z,False,simonw
0.52.4,2020-12-05T19:42:57Z,False,simonw
0.52.3,2020-12-03T19:08:29Z,False,simonw
0.52.2,2020-12-03T00:58:43Z,False,simonw
0.52.1,2020-11-29T19:39:52Z,False,simonw
0.52,2020-11-28T23:57:12Z,False,simonw
0.51.1,2020-11-01T03:34:36Z,False,simonw
0.51,2020-10-31T22:29:33Z,False,simonw
0.51a2,2020-10-30T17:57:53Z,True,simonw
0.51a1,2020-10-30T05:37:34Z,True,simonw
0.51a0,2020-10-20T05:33:01Z,True,simonw
0.50.2,2020-10-10T03:59:18Z,False,simonw
0.50.1,2020-10-10T00:44:23Z,False,simonw
0.50,2020-10-09T17:58:27Z,False,simonw
0.50a1,2020-10-06T20:52:49Z,True,simonw
0.50a0,2020-10-01T23:35:54Z,True,simonw
0.49.1,2020-09-15T20:21:16Z,False,simonw
0.49,2020-09-14T21:40:11Z,False,simonw
0.49a1,2020-09-14T02:48:19Z,True,simonw
0.49a0,2020-08-28T23:18:09Z,True,simonw
0.48,2020-08-16T18:58:34Z,False,simonw
0.47.3,2020-08-15T21:03:58Z,False,simonw
0.47.2,2020-08-12T20:55:28Z,False,simonw
0.47.1,2020-08-12T02:38:00Z,False,simonw
0.47,2020-08-12T00:44:52Z,False,simonw
0.46,2020-08-09T16:10:47Z,False,simonw
0.45,2020-07-01T21:46:07Z,False,simonw
0.45a5,2020-07-01T04:27:08Z,True,simonw
0.45a4,2020-06-29T02:33:02Z,True,simonw
0.45a3,2020-06-28T03:27:12Z,True,simonw
0.45a2,2020-06-24T04:32:12Z,True,simonw
0.45a1,2020-06-19T00:02:29Z,True,simonw
0.45a0,2020-06-18T21:14:00Z,True,simonw
0.44,2020-06-12T07:10:38Z,False,simonw
0.43,2020-05-28T14:39:18Z,False,simonw
0.42,2020-05-08T17:56:36Z,False,simonw
0.41,2020-05-06T18:30:03Z,False,simonw
0.40,2020-04-22T04:06:51Z,False,simonw
0.39,2020-03-25T04:11:35Z,False,simonw
0.38,2020-03-08T23:42:36Z,False,simonw
0.37.1,2020-03-03T03:46:17Z,False,simonw
0.37,2020-02-26T03:44:07Z,False,simonw
0.36,2020-02-22T03:24:50Z,False,simonw
0.35,2020-02-05T02:32:34Z,False,simonw
0.34,2020-01-30T00:29:21Z,False,simonw
0.33,2019-12-22T16:43:31Z,False,simonw
0.32,2019-11-14T23:42:14Z,False,simonw
0.31.2,2019-11-13T17:38:59Z,False,simonw
0.31.1,2019-11-13T02:40:53Z,False,simonw
0.31,2019-11-13T02:16:15Z,False,simonw
0.30.2,2019-11-02T23:33:13Z,False,simonw
0.30.1,2019-11-02T00:06:02Z,False,simonw
0.30,2019-10-30T18:51:30Z,False,simonw
0.29.3,2019-10-18T05:24:54Z,False,simonw
0.29.2,2019-09-03T00:33:35Z,False,simonw
0.29.1,2019-07-14T01:43:44Z,False,simonw
0.29,2019-07-08T03:43:13Z,False,simonw
0.28,2019-05-19T21:42:28Z,False,simonw
0.27,2019-02-06T05:10:20Z,False,simonw
0.26.1,2019-01-28T01:50:45Z,False,simonw
0.26,2019-01-10T21:41:00Z,False,simonw
0.25.2,2018-12-16T21:45:39Z,False,simonw
0.25.1,2018-12-16T21:44:27Z,False,simonw
0.25,2018-09-19T18:27:21Z,False,simonw
0.24,2018-07-24T16:51:29Z,False,simonw
0.23.2,2018-07-08T05:41:38Z,False,simonw
0.23.1,2018-06-21T16:02:44Z,False,simonw
0.23,2018-06-18T15:28:37Z,False,simonw
0.22.1,2018-05-23T14:04:17Z,False,simonw
0.22,2018-05-20T23:44:19Z,False,simonw
0.21,2018-05-05T23:21:33Z,False,simonw
0.20,2018-04-20T14:41:14Z,False,simonw
0.19,2018-04-17T02:21:51Z,False,simonw
0.18,2018-04-14T15:45:11Z,False,simonw
0.16,2018-04-13T21:10:53Z,False,simonw
0.15,2018-04-09T15:55:29Z,False,simonw
0.14,2017-12-10T01:41:14Z,False,simonw
0.13,2017-11-25T03:44:46Z,False,simonw
0.12,2017-11-16T16:01:35Z,False,simonw
