tag_name,published_at,prerelease,author_login
v0.4.1500,2020-12-26T18:24:57Z,False,soimort
v0.4.1488,2020-11-18T15:43:18Z,False,soimort
v0.4.1475,2020-10-27T17:26:33Z,False,soimort
v0.4.1456,2020-07-19T14:44:42Z,False,soimort
v0.4.1432,2020-03-30T00:46:58Z,False,soimort
v0.4.1423,2020-03-23T11:20:51Z,False,soimort
v0.4.1410,2020-03-02T13:50:35Z,False,soimort
v0.4.1403,2020-01-26T23:37:18Z,False,soimort
v0.4.1388,2019-12-28T20:45:09Z,False,soimort
v0.4.1355,2019-09-24T12:05:39Z,False,soimort
v0.4.1347,2019-09-09T21:30:32Z,False,soimort
v0.4.1328,2019-08-02T11:32:56Z,False,soimort
v0.4.1314,2019-06-11T14:11:05Z,False,soimort
v0.4.1302,2019-05-08T23:49:33Z,False,soimort
v0.4.1295,2019-04-25T14:28:24Z,False,soimort
v0.4.1270,2019-03-08T22:32:39Z,False,soimort
v0.4.1256,2019-02-20T15:51:25Z,False,soimort
v0.4.1210,2019-02-16T05:20:30Z,False,soimort
v0.4.1205,2019-01-18T11:54:38Z,False,soimort
v0.4.1193,2018-12-17T11:13:26Z,False,soimort
v0.4.1181,2018-11-30T20:55:41Z,False,soimort
v0.4.1167,2018-11-07T16:15:10Z,False,soimort
v0.4.1164,2018-10-28T12:36:38Z,False,soimort
v0.4.1148,2018-09-11T21:58:19Z,False,soimort
v0.4.1140,2018-09-07T22:51:11Z,False,soimort
v0.4.1128,2018-08-10T14:49:08Z,False,soimort
v0.4.1120,2018-08-08T15:25:31Z,False,soimort
v0.4.1099,2018-06-27T21:45:05Z,False,soimort
v0.4.1077,2018-05-15T19:24:27Z,False,soimort
v0.4.1060,2018-04-15T15:16:57Z,False,soimort
v0.4.1040,2018-03-01T22:00:38Z,False,soimort
v0.4.1025,2018-02-09T14:52:57Z,False,soimort
v0.4.1011,2017-12-23T17:33:28Z,False,soimort
v0.4.995,2017-12-04T03:21:00Z,False,soimort
v0.4.990,2017-12-02T00:46:52Z,False,soimort
v0.4.985,2017-11-27T20:47:12Z,False,soimort
v0.4.964,2017-11-17T16:46:52Z,False,soimort
v0.4.939,2017-10-13T21:47:35Z,False,soimort
v0.4.915,2017-09-16T09:50:52Z,False,soimort
v0.4.909,2017-09-12T10:46:44Z,False,soimort
v0.4.900,2017-09-11T13:37:10Z,False,soimort
v0.4.803,2017-07-23T21:12:01Z,False,soimort
v0.4.775,2017-07-08T01:21:41Z,False,soimort
v0.4.715,2017-04-16T10:30:15Z,False,soimort
v0.4.652,2017-02-02T05:08:25Z,False,soimort
v0.4.648,2017-02-01T23:01:02Z,False,soimort
v0.4.626,2017-01-10T16:50:22Z,False,soimort
v0.4.595,2016-11-19T20:00:48Z,False,soimort
v0.4.575,2016-11-03T00:50:47Z,False,soimort
v0.4.555,2016-09-23T06:41:45Z,False,soimort
v0.4.536,2016-08-22T23:54:52Z,False,soimort
v0.4.523,2016-08-04T23:28:25Z,False,soimort
v0.4.486,2016-07-08T17:19:57Z,False,soimort
v0.4.455,2016-06-23T20:24:48Z,False,soimort
v0.4.424,2016-05-23T20:48:28Z,False,soimort
v0.4.390,2016-04-30T01:16:40Z,False,soimort
v0.4.365,2016-03-26T21:38:08Z,False,soimort
v0.4.350,2016-03-17T02:31:00Z,False,soimort
v0.4.330,2016-03-10T23:39:18Z,False,soimort
v0.4.324,2016-03-05T19:30:58Z,False,soimort
v0.4.306,2016-02-29T14:16:07Z,False,soimort
