tag_name,published_at,prerelease,author_login
v3.1.0,2020-10-21T07:28:29Z,False,
v2.2.2,2020-07-28T15:29:39Z,False,ritiek
v2.2.1,2020-07-07T16:52:11Z,False,ritiek
v2.2.0,2020-07-01T09:14:49Z,False,ritiek
v2.1.0,2020-06-12T19:13:35Z,False,ritiek
v2.0.9,2020-06-01T18:47:28Z,False,ritiek
v2.0.8,2020-05-31T17:26:35Z,False,ritiek
v2.0.7,2020-05-31T17:16:00Z,False,ritiek
v2.0.6,2020-05-26T18:34:57Z,False,ritiek
v2.0.5,2020-05-20T07:45:56Z,False,ritiek
v2.0.4,2020-05-19T07:58:29Z,False,ritiek
v2.0.3,2020-05-18T12:22:07Z,False,ritiek
v2.0.2,2020-05-18T09:47:53Z,False,ritiek
v2.0.1,2020-05-18T08:46:17Z,False,ritiek
v2.0.0,2020-05-17T23:27:11Z,False,ritiek
v1.2.6,2020-03-02T12:19:33Z,False,ritiek
v1.2.5,2020-03-02T11:30:27Z,False,ritiek
v1.2.4,2020-01-10T10:29:32Z,False,ritiek
v1.2.3,2019-12-19T21:46:32Z,False,ritiek
v1.2.2,2019-06-05T18:08:15Z,False,ritiek
v1.2.1,2019-04-28T11:41:46Z,False,ritiek
v1.2.0,2019-03-01T08:47:43Z,False,ritiek
v1.1.2,2019-02-10T15:26:04Z,False,ritiek
v1.1.1,2019-01-02T19:38:44Z,False,ritiek
v1.1.0,2018-11-13T18:11:02Z,False,ritiek
v1.0.0,2018-09-09T15:39:25Z,False,linusg
