tag_name,published_at,prerelease,author_login
3.0.2,2020-09-23T11:57:43Z,False,honnix
3.0.1,2020-07-23T08:57:50Z,False,ckiosidis
3.0.0,2020-06-02T08:26:44Z,False,honnix
2.8.13,2020-04-29T13:33:17Z,False,jesperps
2.8.12,2020-02-19T09:51:46Z,False,honnix
3.0.0b2,2020-02-19T08:41:37Z,True,honnix
2.8.11,2020-01-02T14:56:05Z,False,honnix
2.8.10,2019-11-22T14:31:29Z,False,honnix
2.8.9,2019-08-27T08:21:58Z,False,honnix
2.8.8,2019-08-12T08:47:35Z,False,NatashaL
2.8.7,2019-06-14T12:41:57Z,False,narape
2.8.6,2019-05-22T12:43:30Z,False,honnix
2.8.5,2019-05-09T11:36:31Z,False,honnix
2.8.4,2019-05-06T14:49:00Z,False,zatine
2.8.3,2019-01-16T13:53:11Z,False,NatashaL
2.8.2,2018-12-12T17:05:39Z,False,dlstadther
2.8.1,2018-12-11T16:29:36Z,False,NatashaL
2.8.0,2018-11-02T13:38:02Z,False,honnix
2.7.9,2018-09-28T07:42:54Z,False,honnix
2.7.8,2018-08-24T13:44:18Z,False,honnix
2.7.7,2018-08-24T10:10:21Z,False,honnix
2.7.6,2018-07-11T13:53:43Z,False,ulzha
2.7.5,2018-04-12T11:04:44Z,False,zatine
2.7.4,2018-04-11T12:58:35Z,False,zatine
2.7.3,2018-03-13T18:20:09Z,False,honnix
2.7.2,2018-01-24T13:19:17Z,False,bergman
2.7.1,2017-10-05T11:47:06Z,False,dlstadther
2.7.0,2017-08-25T13:20:38Z,False,Tarrasch
2.6.2,2017-06-06T08:38:32Z,False,Tarrasch
2.6.1,2017-03-14T07:23:03Z,False,Tarrasch
2.6.0,2017-02-10T06:59:30Z,False,Tarrasch
2.5.0,2017-01-10T07:57:54Z,False,Tarrasch
2.4.0,2016-12-02T05:05:48Z,False,Tarrasch
2.3.3,2016-10-21T04:12:51Z,False,Tarrasch
2.3.2,2016-09-20T09:50:45Z,False,Tarrasch
2.3.1,2016-08-25T02:42:25Z,False,Tarrasch
2.3.0,2016-08-12T03:20:29Z,False,Tarrasch
2.2.0,2016-07-08T10:55:36Z,False,Tarrasch
2.1.1,2016-04-06T07:35:50Z,False,Tarrasch
2.1.0,2016-04-01T20:59:48Z,False,ulzha
2.0.1,2015-12-05T18:13:54Z,False,erikbern
2.0.0,2015-10-23T12:37:02Z,False,Tarrasch
1.3.0,2015-06-26T13:27:54Z,False,Tarrasch
v1.2.1,2015-05-26T10:04:18Z,False,Tarrasch
1.2.1,2015-05-26T18:28:07Z,False,Tarrasch
v1.2.0,2015-05-26T09:38:52Z,False,Tarrasch
1.1.1,2015-03-16T13:04:40Z,False,erikbern
1.1.0,2015-03-07T17:38:20Z,False,erikbern
1.0.24,2015-02-10T04:22:03Z,False,erikbern
v1.0.20,2014-05-17T16:36:19Z,False,erikbern
