tag_name,published_at,prerelease,author_login
rel_1_3_22,2020-12-18T21:11:45Z,False,sqla-tester
rel_1_3_21,2020-12-17T17:35:08Z,False,sqla-tester
rel_1_4_0b1,2020-11-02T21:07:44Z,True,sqla-tester
rel_1_3_20,2020-10-12T22:33:21Z,False,sqla-tester
rel_1_3_19,2020-08-17T20:06:01Z,False,sqla-tester
rel_1_3_18,2020-06-25T19:00:01Z,False,sqla-tester
rel_1_3_17,2020-05-13T21:41:35Z,False,sqla-tester
rel_1_3_16,2020-04-08T02:48:40Z,False,sqla-tester
rel_1_3_15,2020-03-11T16:37:06Z,False,sqla-tester
rel_1_3_14,2020-03-10T15:58:50Z,False,sqla-tester
rel_1_3_13,2020-01-22T17:00:50Z,False,sqla-tester
rel_1_3_12,2019-12-16T18:43:43Z,False,sqla-tester
rel_1_3_11,2019-11-12T02:25:18Z,False,sqla-tester
rel_1_3_10,2019-10-10T01:38:21Z,False,sqla-tester
rel_1_3_9,2019-10-04T20:19:17Z,False,sqla-tester
rel_1_3_8,2019-09-02T17:46:08Z,False,zzzeek
rel_1_3_7,2019-09-02T17:46:53Z,False,zzzeek
rel_1_3_6,2019-09-02T18:36:42Z,False,sqla-tester
rel_1_3_5,2019-09-02T18:37:08Z,False,sqla-tester
rel_1_3_4,2019-09-02T18:37:10Z,False,sqla-tester
rel_1_3_3,2019-09-02T18:37:11Z,False,sqla-tester
rel_1_2_19,2019-09-02T18:39:41Z,False,sqla-tester
rel_1_3_2,2019-09-02T18:37:12Z,False,sqla-tester
rel_1_3_1,2019-09-02T18:37:14Z,False,sqla-tester
rel_1_3_0,2019-09-02T18:37:15Z,False,sqla-tester
rel_1_2_18,2019-09-02T18:39:42Z,False,sqla-tester
rel_1_3_0b3,2019-09-02T18:37:17Z,True,sqla-tester
rel_1_2_17,2019-09-02T18:39:44Z,False,sqla-tester
rel_1_3_0b2,2019-09-02T18:37:18Z,True,sqla-tester
rel_1_2_16,2019-09-02T18:39:45Z,False,sqla-tester
rel_1_2_15,2019-09-02T18:39:46Z,False,sqla-tester
rel_1_3_0b1,2019-09-02T18:37:20Z,True,sqla-tester
rel_1_2_14,2019-09-02T18:39:48Z,False,sqla-tester
rel_1_2_13,2019-09-02T18:39:49Z,False,sqla-tester
rel_1_2_12,2019-09-02T18:39:50Z,False,sqla-tester
rel_1_2_11,2019-09-02T18:39:52Z,False,sqla-tester
rel_1_2_10,2019-09-02T18:39:53Z,False,sqla-tester
rel_1_2_9,2019-09-02T18:39:55Z,False,sqla-tester
rel_1_2_8,2019-09-02T18:39:56Z,False,sqla-tester
rel_1_2_7,2019-09-02T18:39:57Z,False,sqla-tester
rel_1_2_6,2019-09-02T18:39:59Z,False,sqla-tester
rel_1_2_5,2019-09-02T18:40:00Z,False,sqla-tester
rel_1_1_18,2019-09-02T19:07:38Z,False,sqla-tester
rel_1_2_4,2019-09-02T18:40:01Z,False,sqla-tester
rel_1_1_17,2019-09-02T19:07:40Z,False,sqla-tester
rel_1_2_3,2019-09-02T18:40:03Z,False,sqla-tester
rel_1_1_16,2019-09-02T19:07:41Z,False,sqla-tester
rel_1_2_2,2019-09-02T18:40:04Z,False,sqla-tester
rel_1_2_1,2019-09-02T18:40:06Z,False,sqla-tester
rel_1_2_0,2019-09-02T18:40:07Z,False,sqla-tester
rel_1_1_15,2019-09-02T19:07:43Z,False,sqla-tester
rel_1_1_14,2019-09-02T19:07:44Z,False,sqla-tester
rel_1_1_13,2019-09-02T19:07:46Z,False,sqla-tester
rel_1_1_12,2019-09-02T19:07:47Z,False,sqla-tester
rel_1_2_0b2,2019-09-02T18:40:08Z,True,sqla-tester
rel_1_2_0b1,2019-09-02T18:40:10Z,True,sqla-tester
rel_1_1_11,2019-09-02T19:07:48Z,False,sqla-tester
rel_1_1_10,2019-09-02T19:07:50Z,False,sqla-tester
rel_1_1_9,2019-09-02T19:07:51Z,False,sqla-tester
rel_1_1_8,2019-09-02T19:07:53Z,False,sqla-tester
rel_1_1_7,2019-09-02T19:07:54Z,False,sqla-tester
rel_1_1_6,2019-09-02T19:07:56Z,False,sqla-tester
rel_1_1_5,2019-09-02T19:07:57Z,False,sqla-tester
rel_1_1_4,2019-09-02T19:07:59Z,False,sqla-tester
rel_1_1_3,2019-09-02T19:08:00Z,False,sqla-tester
rel_1_1_2,2019-09-02T19:08:01Z,False,sqla-tester
rel_1_1_1,2019-09-02T19:08:03Z,False,sqla-tester
rel_1_1_0,2019-09-02T19:08:04Z,False,sqla-tester
rel_1_1_0b3,2019-09-02T19:08:06Z,True,sqla-tester
rel_1_1_0b2,2019-09-02T19:08:07Z,True,sqla-tester
rel_1_1_0b1,2019-09-02T19:08:09Z,True,sqla-tester
