tag_name,published_at,prerelease,author_login
v0.12.1,2020-10-29T14:58:16Z,False,ChadFulton
v0.12.0,2020-08-27T15:24:19Z,False,bashtage
v0.12.0rc0,2020-08-11T08:44:13Z,True,bashtage
v0.11.1,2020-02-21T13:11:48Z,False,bashtage
v0.11.0,2020-01-22T12:32:32Z,False,bashtage
v0.11.0rc2,2020-01-15T12:50:42Z,True,bashtage
v0.11.0rc1,2019-12-18T11:10:58Z,True,bashtage
v0.10.2,2019-11-23T08:21:12Z,False,bashtage
v0.10.1,2019-07-19T11:32:05Z,False,bashtage
v0.10.0,2019-06-24T15:42:35Z,False,bashtage
v0.10.0rc2,2019-06-07T09:23:00Z,True,bashtage
v0.9.0,2018-05-15T01:18:47Z,False,josef-pkt
0.9.0rc1,2018-04-30T03:26:12Z,True,josef-pkt
v0.8.0,2017-02-08T16:36:41Z,False,josef-pkt
v0.8.0rc1,2016-06-21T18:39:53Z,False,josef-pkt
