tag_name,published_at,prerelease,author_login
sympy-1.7.1,2020-12-12T23:04:42Z,False,oscarbenjamin
sympy-1.7,2020-11-29T14:03:54Z,False,oscarbenjamin
sympy-1.7rc1,2020-11-23T23:53:26Z,True,oscarbenjamin
sympy-1.6.2,2020-08-09T21:14:20Z,False,oscarbenjamin
sympy-1.6.1,2020-07-02T18:20:54Z,False,oscarbenjamin
sympy-1.6,2020-05-24T11:08:46Z,False,oscarbenjamin
sympy-1.6rc1,2020-10-22T21:26:36Z,True,oscarbenjamin
sympy-1.5,2019-12-13T22:05:06Z,False,oscarbenjamin
sympy-1.4,2019-04-10T04:16:28Z,False,asmeurer
sympy-1.4rc2,2019-04-04T22:42:07Z,True,asmeurer
sympy-1.4rc1,2019-04-02T03:39:06Z,True,asmeurer
sympy-1.3,2018-09-14T22:20:37Z,False,asmeurer
sympy-1.3rc1,2018-09-08T02:42:55Z,True,asmeurer
sympy-1.2,2018-07-09T18:26:14Z,False,asmeurer
sympy-1.2rc1,2018-07-03T00:41:25Z,True,asmeurer
sympy-1.1.1,2017-07-27T01:52:53Z,False,asmeurer
sympy-1.1.1rc1,2017-07-22T20:42:50Z,True,asmeurer
sympy-1.1,2017-07-06T19:34:14Z,False,asmeurer
sympy-1.1rc1,2017-07-02T22:24:18Z,True,asmeurer
sympy-1.0,2016-03-09T19:40:48Z,False,asmeurer
sympy-1.0.rc1,2016-02-26T18:04:40Z,True,asmeurer
sympy-0.7.6.1,2015-09-03T22:11:56Z,False,asmeurer
sympy-0.7.6,2014-11-20T21:05:07Z,False,asmeurer
sympy-0.7.6.rc2,2014-11-13T22:44:40Z,True,asmeurer
sympy-0.7.6.rc1,2014-11-06T22:19:20Z,True,asmeurer
sympy-0.7.5,2014-02-22T19:24:56Z,False,asmeurer
sympy-0.7.5.rc1,2014-02-17T15:19:29Z,True,asmeurer
sympy-0.7.4.1,2013-12-15T17:32:29Z,False,asmeurer
sympy-0.7.4,2013-12-09T01:02:33Z,False,asmeurer
sympy-0.7.4.rc1,2013-12-02T06:31:52Z,True,asmeurer
sympy-0.7.3,2013-07-14T19:18:37Z,False,asmeurer
sympy-0.7.3.rc1,2013-07-07T02:36:50Z,True,asmeurer
