tag_name,published_at,prerelease,author_login
v0.3.0.post1,2020-10-08T15:24:00Z,False,Trinkle23897
v0.3.0,2020-09-26T08:39:40Z,False,Trinkle23897
v0.3.0rc0,2020-09-23T13:07:59Z,True,Trinkle23897
v0.2.7,2020-09-08T13:38:20Z,False,Trinkle23897
v0.2.6,2020-08-19T07:21:05Z,False,Trinkle23897
v0.2.5,2020-07-22T06:59:51Z,False,Trinkle23897
v0.2.4.post1,2020-07-14T00:00:19Z,False,Trinkle23897
v0.2.4,2020-07-10T09:50:14Z,False,Trinkle23897
v0.2.3,2020-06-01T01:50:01Z,False,Trinkle23897
v0.2.2,2020-04-26T07:25:56Z,False,Trinkle23897
v0.2.1,2020-04-07T03:52:37Z,False,Trinkle23897
