tag_name,published_at,prerelease,author_login
v4.55.0,2020-12-25T11:29:01Z,False,tqdm-bot
v4.54.1,2020-12-05T03:42:03Z,False,tqdm-bot
v4.54.0,2020-11-27T14:48:46Z,False,github-actions[bot]
v4.53.0,2020-11-21T16:39:08Z,False,github-actions[bot]
v4.52.0,2020-11-16T15:40:19Z,False,github-actions[bot]
v4.51.0,2020-10-25T18:38:23Z,False,tqdm-bot
v4.50.2,2020-10-08T14:28:46Z,False,tqdm-bot
v4.50.1,2020-10-07T12:11:41Z,False,tqdm-bot
v4.50.0,2020-09-28T01:19:39Z,False,tqdm-bot
v4.49.0,2020-09-12T23:28:32Z,False,tqdm-bot
v4.48.2,2020-08-03T17:01:28Z,False,tqdm-bot
v4.48.1,2020-08-03T00:26:27Z,False,tqdm-bot
v4.48.0,2020-07-16T22:10:37Z,False,casperdcl
v4.47.0,2020-06-28T22:41:57Z,False,casperdcl
v4.46.1,2020-06-03T10:23:42Z,False,casperdcl
v4.46.0,2020-05-03T13:36:51Z,False,casperdcl
v4.45.0,2020-04-02T13:02:03Z,False,casperdcl
v4.44.1,2020-03-29T16:04:21Z,False,casperdcl
v4.44.0,2020-03-28T22:16:57Z,False,casperdcl
v4.43.0,2020-02-19T15:04:43Z,False,casperdcl
v4.42.1,2020-02-03T15:45:21Z,False,casperdcl
v4.42.0,2020-01-25T00:20:52Z,False,casperdcl
v4.41.1,2020-01-05T07:05:35Z,False,casperdcl
v4.41.0,2019-12-20T20:40:24Z,False,casperdcl
v4.40.2,2019-12-11T13:34:32Z,False,casperdcl
v4.40.1,2019-12-11T13:33:47Z,False,casperdcl
v4.40.0,2019-12-01T01:43:44Z,False,casperdcl
v4.39.0,2019-11-22T17:18:37Z,False,casperdcl
v4.38.0,2019-11-09T01:30:03Z,False,casperdcl
v4.37.0,2019-10-31T17:25:17Z,False,casperdcl
v4.36.1,2019-09-20T18:08:40Z,False,casperdcl
v4.36.0,2019-09-17T17:39:48Z,False,casperdcl
v4.35.0,2019-08-24T23:05:46Z,False,casperdcl
v4.34.0,2019-08-18T22:26:02Z,False,casperdcl
v4.33.0,2019-08-08T16:22:22Z,False,casperdcl
v4.32.2,2019-06-18T19:15:38Z,False,casperdcl
v4.32.1,2019-05-13T22:48:24Z,False,casperdcl
v4.32.0,2019-05-13T16:58:35Z,False,casperdcl
v4.31.1,2019-02-10T19:07:02Z,False,casperdcl
v4.31.0,2019-02-09T03:31:56Z,False,casperdcl
v4.30.0,2019-01-26T18:32:58Z,False,casperdcl
v4.29.1,2019-01-11T22:16:26Z,False,casperdcl
v4.29.0,2019-01-06T21:43:38Z,False,casperdcl
v4.28.1,2018-10-21T19:59:43Z,False,casperdcl
v4.28.0,2018-10-20T21:37:53Z,False,casperdcl
v4.27.0,2018-10-15T16:35:10Z,False,casperdcl
v4.26.0,2018-09-11T19:50:59Z,False,casperdcl
v4.25.0,2018-08-20T12:54:58Z,False,casperdcl
v4.24.0,2018-07-26T16:40:43Z,False,casperdcl
v4.23.4,2018-05-22T19:41:30Z,False,casperdcl
v4.23.3,2018-05-22T19:23:21Z,False,casperdcl
v4.23.2,2018-05-02T16:58:11Z,False,casperdcl
v4.23.1,2018-04-25T17:37:36Z,False,casperdcl
v4.23.0,2018-04-15T20:27:19Z,False,casperdcl
v4.22.0,2018-04-11T23:45:20Z,False,casperdcl
v4.21.0,2018-04-08T03:28:32Z,False,casperdcl
v4.20.0,2018-04-03T10:58:03Z,False,casperdcl
v4.19.9,2018-03-27T18:24:21Z,False,casperdcl
v4.19.8,2018-03-27T18:12:56Z,False,casperdcl
v4.19.6,2018-02-27T00:12:07Z,False,casperdcl
v4.19.5,2017-12-10T18:59:59Z,False,casperdcl
v4.19.4,2017-10-15T15:43:20Z,False,casperdcl
v4.19.2,2017-10-08T23:50:11Z,False,casperdcl
v4.19.1,2017-10-03T19:24:08Z,False,casperdcl
