tag_name,published_at,prerelease,author_login
v2.6.0,2020-12-18T23:54:58Z,False,dzier
v2.5.0,2020-11-20T23:24:04Z,False,dzier
v2.4.0,2020-10-27T01:21:44Z,False,dzier
v2.3.0,2020-10-02T02:10:39Z,False,dzier
v2.2.0,2020-08-27T19:57:28Z,False,dzier
v2.1.0,2020-07-30T22:28:11Z,False,dzier
v1.15.0,2020-07-30T22:27:14Z,False,dzier
v2.0.0,2020-06-30T01:06:34Z,False,dzier
v1.14.0,2020-06-30T01:06:25Z,False,dzier
v1.13.0,2020-06-01T21:39:59Z,False,dzier
v1.12.0,2020-03-26T21:17:23Z,False,dzier
v1.11.0,2020-02-26T21:47:42Z,False,dzier
v1.10.0,2020-01-28T17:56:22Z,False,dzier
v1.9.0,2019-12-21T01:24:49Z,False,dzier
v1.8.0,2019-11-27T18:13:39Z,False,dzier
v1.7.0,2019-10-30T00:03:52Z,False,dzier
v1.6.0,2019-09-27T21:50:58Z,False,dzier
v1.5.0,2019-09-03T23:53:58Z,False,dzier
v1.4.0,2019-07-30T23:06:40Z,False,deadeyegoodwin
v1.3.0,2019-06-28T16:36:10Z,False,deadeyegoodwin
v1.2.0,2019-05-24T16:20:19Z,False,deadeyegoodwin
v1.1.0,2019-04-24T00:07:16Z,False,deadeyegoodwin
v1.0.0,2019-03-18T20:11:14Z,False,deadeyegoodwin
v0.11.0,2019-02-28T02:32:29Z,False,deadeyegoodwin
v0.10.0,2019-01-28T21:03:27Z,False,deadeyegoodwin
v0.9.0,2018-12-20T01:10:45Z,False,deadeyegoodwin
v0.8.0,2018-11-27T21:58:18Z,False,deadeyegoodwin
