tag_name,published_at,prerelease,author_login
v3.10.0,2020-12-26T02:10:57Z,False,Harmon758
v3.9.0,2020-07-11T19:28:25Z,False,joshthecoder
v3.8.0,2019-07-15T01:23:34Z,False,Harmon758
v3.7.0,2019-06-01T03:00:17Z,False,joshthecoder
v3.6.0,2018-03-02T19:39:31Z,False,joshthecoder
v3.5.0,2015-11-20T05:53:19Z,False,joshthecoder
v3.4.0,2015-08-14T00:18:34Z,False,joshthecoder
v3.2.0,2015-01-28T19:11:58Z,False,joshthecoder
v3.1.0,2014-12-01T19:24:04Z,False,joshthecoder
v3.0.0,2014-12-01T19:23:25Z,False,joshthecoder
v2.3.0,2014-04-27T00:55:56Z,False,joshthecoder
2.2,2014-01-20T18:42:12Z,False,joshthecoder
2.1,2013-07-14T18:53:08Z,False,joshthecoder
