tag_name,published_at,prerelease,author_login
2.1.8,2020-12-22T09:05:55Z,False,vnpy
v2.1.7,2020-10-26T03:27:52Z,False,vnpy
v2.1.6,2020-09-19T09:23:11Z,False,vnpy
v2.1.5,2020-08-11T14:21:25Z,False,vnpy
v2.1.4,2020-06-22T12:51:33Z,False,vnpy
v2.1.3,2020-05-15T04:24:40Z,False,vnpy
v2.1.2,2020-04-14T13:25:43Z,False,vnpy
v2.1.1,2020-03-11T01:45:32Z,False,vnpy
v2.1.0,2020-02-08T15:43:54Z,False,vnpy
v2.0.9,2019-12-26T04:56:41Z,False,vnpy
v2.0.8,2019-11-15T03:42:27Z,False,vnpy
v2.0.7,2019-09-19T14:27:14Z,False,vnpy
v2.0.6,2019-07-22T05:02:45Z,False,vnpy
v2.0.5,2019-07-04T01:44:55Z,False,vnpy
v2.0.4,2019-06-16T08:20:13Z,False,vnpy
v2.0.3,2019-05-17T04:49:48Z,False,vnpy
v2.0.1,2019-04-03T05:51:54Z,False,vnpy
v2.0.2,2019-04-19T06:13:41Z,False,vnpy
v2.0,2019-02-26T09:41:14Z,False,vnpy
v2.0-beta,2019-02-10T04:16:07Z,True,vnpy
v1.9.2,2018-12-29T02:16:22Z,False,vnpy
v1.9.1,2018-11-18T12:45:47Z,False,vnpy
v1.9.0,2018-08-12T17:06:42Z,False,vnpy
v1.8.1,2018-05-21T04:16:01Z,False,vnpy
v1.8,2018-02-22T05:29:12Z,False,vnpy
v1.7.3,2018-01-20T04:07:39Z,False,vnpy
v1.7.2,2017-12-08T07:19:19Z,False,vnpy
v1.7.1,2017-10-18T14:05:37Z,False,vnpy
v1.7,2017-08-28T07:50:30Z,False,vnpy
v1.6.2,2017-06-07T14:07:42Z,False,vnpy
v1.6.1,2017-04-19T14:08:14Z,False,vnpy
v1.6,2017-04-19T14:07:32Z,False,vnpy
v1.5,2017-03-12T03:25:48Z,False,vnpy
v1.4,2017-01-17T15:30:14Z,False,vnpy
v1.3,2016-11-24T14:27:56Z,False,vnpy
v1.2,2016-11-02T14:04:17Z,False,vnpy
v1.1,2016-08-04T15:34:39Z,False,vnpy
v1.0,2016-07-29T03:08:22Z,False,vnpy
