tag_name,published_at,prerelease,author_login
v2.11.3,2020-12-10T18:45:29Z,False,gasman
v2.11.2,2020-12-04T13:22:51Z,False,gasman
v2.11.1,2020-11-06T17:47:42Z,False,gasman
v2.11,2020-11-02T15:23:25Z,False,gasman
v2.11.rc1,2020-10-23T14:55:11Z,True,gasman
v2.10.2,2020-09-25T10:21:24Z,False,gasman
v2.10.1,2020-08-26T13:39:00Z,False,gasman
v2.10,2020-08-11T10:13:47Z,False,gasman
v2.10rc2,2020-07-31T18:31:16Z,True,gasman
v2.10rc1,2020-07-27T10:51:46Z,True,gasman
v2.9.3,2020-07-20T10:15:03Z,False,gasman
v2.7.4,2020-07-20T10:14:17Z,False,gasman
v2.9.2,2020-07-03T12:01:41Z,False,gasman
v2.9.1,2020-06-30T11:43:49Z,False,gasman
v2.9,2020-05-04T12:32:09Z,False,gasman
v2.8.2,2020-05-04T12:31:26Z,False,gasman
v2.7.3,2020-05-04T12:30:13Z,False,gasman
v2.9rc1,2020-04-21T16:15:29Z,True,gasman
v2.8.1,2020-04-14T09:21:51Z,False,gasman
v2.7.2,2020-04-14T09:21:08Z,False,gasman
v2.8,2020-02-03T13:31:55Z,False,gasman
v2.8rc1,2020-01-20T22:46:25Z,True,gasman
v2.7.1,2020-01-08T12:04:56Z,False,gasman
v2.7,2019-11-06T14:36:59Z,False,gasman
v2.7rc2,2019-10-23T11:17:00Z,True,gasman
v2.6.3,2019-10-22T16:08:35Z,False,gasman
v2.7rc1,2019-10-16T18:51:41Z,True,gasman
v2.6.2,2019-09-19T15:15:01Z,False,gasman
v2.6.1,2019-08-05T14:48:45Z,False,gasman
v2.6,2019-08-01T10:13:46Z,False,gasman
v2.5.2,2019-08-01T10:39:58Z,False,gasman
v2.6rc1,2019-07-09T14:11:11Z,True,gasman
v2.5.1,2019-05-07T21:46:59Z,False,gasman
v2.5,2019-04-24T16:21:41Z,False,gasman
v2.5rc1,2019-04-08T22:43:21Z,True,gasman
v2.4,2018-12-19T15:29:16Z,False,gasman
v2.4rc1,2018-12-06T17:15:57Z,True,gasman
v2.3,2018-10-23T15:14:17Z,False,gasman
v2.3rc2,2018-10-16T15:42:49Z,True,gasman
v2.3rc1,2018-10-11T15:23:38Z,True,gasman
v2.2.2,2018-08-29T13:30:01Z,False,gasman
v2.2.1,2018-08-13T19:38:29Z,False,gasman
v2.1.3,2018-08-13T18:26:56Z,False,gasman
v2.0.2,2018-08-13T17:24:24Z,False,gasman
v1.13.4,2018-08-13T16:56:02Z,False,gasman
v1.13.3,2018-08-13T12:20:48Z,False,gasman
v1.12.6,2018-08-13T16:04:21Z,False,gasman
v1.12.5,2018-08-13T11:43:58Z,False,gasman
v2.2,2018-08-10T13:48:56Z,False,gasman
v2.1.2,2018-08-06T14:31:53Z,False,gasman
v2.2rc2,2018-08-06T13:53:15Z,True,gasman
v2.2rc1,2018-07-30T20:36:39Z,True,gasman
v2.1.1,2018-07-05T11:58:08Z,False,gasman
v1.13.2,2018-07-05T11:57:16Z,False,gasman
v1.12.4,2018-07-05T11:56:40Z,False,gasman
v2.1,2018-05-22T15:52:52Z,False,gasman
v2.1rc2,2018-05-16T13:53:42Z,True,gasman
v2.1rc1,2018-05-05T00:07:09Z,True,gasman
v2.0.1,2018-04-04T15:00:55Z,False,gasman
v2.0,2018-02-28T10:59:16Z,False,gasman
v2.0rc1,2018-02-16T12:04:55Z,True,gasman
v2.0b1,2018-01-26T16:51:26Z,True,gasman
v1.13.1,2017-11-17T11:17:46Z,False,gasman
v1.12.3,2017-11-17T11:17:10Z,False,gasman
v1.13,2017-10-16T19:21:36Z,False,gasman
v1.13rc1,2017-10-06T18:37:50Z,True,gasman
v1.12.2,2017-09-18T21:11:56Z,False,gasman
v1.12.1,2017-08-30T16:40:13Z,False,gasman
v1.12,2017-08-21T14:25:00Z,False,gasman
v1.12rc1,2017-08-11T15:42:23Z,True,gasman
v1.11.1,2017-07-07T14:45:00Z,False,gasman
v1.11,2017-06-30T13:39:31Z,False,gasman
v1.11rc1,2017-06-20T12:49:08Z,True,gasman
v1.10.1,2017-05-23T10:00:12Z,False,gasman
v1.10,2017-05-03T14:07:41Z,False,gasman
v1.9.1,2017-04-21T18:00:44Z,False,gasman
v1.8.2,2017-04-21T17:56:18Z,False,gasman
v1.10rc1,2017-04-19T23:51:16Z,True,gasman
v1.9,2017-02-16T11:36:48Z,False,gasman
v1.9rc1,2017-02-06T13:32:51Z,True,gasman
v1.8.1,2017-01-26T16:40:18Z,False,gasman
v1.8,2016-12-15T14:04:53Z,False,gasman
v1.8rc1,2016-12-06T23:37:40Z,True,gasman
v1.7,2016-10-20T13:58:26Z,False,gasman
v1.7rc1,2016-10-06T10:29:31Z,True,gasman
v1.6.3,2016-09-30T10:52:25Z,False,gasman
v1.6.2,2016-09-02T10:11:51Z,False,gasman
v1.6.1,2016-08-26T10:57:46Z,False,gasman
v1.6,2016-08-15T20:59:53Z,False,gasman
v1.6rc1,2016-08-01T14:17:35Z,True,gasman
v1.5.3,2016-07-18T19:27:12Z,False,gasman
v1.4.6,2016-07-18T18:29:03Z,False,gasman
v1.5.2,2016-06-08T12:52:06Z,False,gasman
v1.5.1,2016-06-07T18:38:00Z,False,gasman
v1.5,2016-05-31T12:43:57Z,False,gasman
v1.4.5,2016-05-19T13:43:43Z,False,gasman
v1.5rc1,2016-05-19T15:10:15Z,True,gasman
v1.4.4,2016-05-10T14:05:24Z,False,gasman
v1.4.3,2016-04-04T20:41:12Z,False,kaedroho
v1.4.2,2016-03-31T09:12:48Z,False,kaedroho
v1.4.1,2016-03-17T02:06:42Z,False,gasman
v1.4,2016-03-16T12:39:36Z,False,gasman
v1.4rc1,2016-03-09T15:46:21Z,True,gasman
v1.3.1,2016-01-05T16:21:09Z,False,gasman
v1.3,2015-12-23T17:50:53Z,False,gasman
v1.3rc1,2015-12-17T17:03:02Z,True,gasman
v1.2,2015-11-12T16:57:14Z,False,gasman
v1.2rc1,2015-11-02T16:31:22Z,True,gasman
v0.8.10,2015-09-16T15:43:09Z,False,gasman
v0.8.9,2015-09-16T14:58:32Z,False,gasman
v1.1,2015-09-15T12:50:55Z,False,gasman
v1.1rc1,2015-09-04T14:21:22Z,True,gasman
v1.0,2015-07-16T09:17:09Z,False,gasman
v1.0rc2,2015-07-03T11:21:43Z,True,gasman
v0.8.8,2015-06-18T15:48:36Z,False,gasman
v1.0rc1,2015-06-17T16:34:42Z,True,gasman
v1.0b2,2015-05-20T09:32:36Z,True,kaedroho
v0.8.7,2015-04-29T10:47:32Z,False,gasman
v1.0b1,2015-03-27T15:41:41Z,True,gasman
v0.8.6,2015-03-10T20:07:41Z,False,gasman
v0.8.5,2015-02-17T17:01:55Z,False,gasman
v0.8.4,2014-12-04T14:51:27Z,False,gasman
v0.8.3,2014-11-18T17:49:37Z,False,kaedroho
v0.8.2,2014-11-18T16:16:40Z,False,kaedroho
v0.8.1,2014-11-05T22:15:23Z,False,gasman
v0.8,2014-11-05T14:54:18Z,False,gasman
v0.7,2014-10-09T19:13:47Z,False,gasman
v0.6,2014-09-11T15:56:20Z,False,gasman
v0.5,2014-08-01T16:05:31Z,False,gasman
v0.4.1,2014-07-14T12:18:46Z,False,gasman
v0.4,2014-07-10T15:35:33Z,False,gasman
v0.3.1,2014-06-06T11:10:27Z,False,kaedroho
v0.3,2014-06-06T11:09:44Z,False,kaedroho
v0.2,2014-03-11T16:41:14Z,False,gasman
