tag_name,published_at,prerelease,author_login
v0.10.12,2020-12-04T03:33:08Z,False,raubitsj
v0.10.11,2020-11-18T20:44:28Z,False,raubitsj
v0.10.10,2020-11-18T01:49:58Z,False,raubitsj
v0.10.9,2020-11-05T07:29:33Z,False,raubitsj
v0.10.8,2020-11-03T17:06:02Z,False,raubitsj
v0.10.7,2020-10-16T16:10:39Z,False,raubitsj
v0.10.6,2020-10-16T16:10:12Z,False,raubitsj
v0.10.5,2020-10-07T22:16:04Z,False,raubitsj
v0.10.4,2020-09-29T20:41:45Z,False,raubitsj
v0.10.3,2020-09-29T16:20:09Z,False,raubitsj
v0.10.2,2020-09-20T16:11:45Z,False,raubitsj
v0.10.1,2020-09-17T01:52:08Z,False,raubitsj
v0.10.0,2020-09-11T19:18:36Z,False,raubitsj
v0.9.7,2020-09-08T20:45:14Z,False,raubitsj
v0.9.6,2020-09-08T20:44:34Z,False,raubitsj
v0.9.5,2020-08-17T23:26:30Z,False,raubitsj
v0.9.4,2020-07-24T22:35:03Z,False,raubitsj
v0.9.3,2020-07-10T20:19:43Z,False,raubitsj
v0.9.2,2020-07-01T19:13:10Z,False,raubitsj
v0.9.1,2020-06-10T22:44:52Z,False,raubitsj
v0.9.0,2020-06-05T21:54:17Z,False,raubitsj
v0.8.36,2020-05-12T18:30:47Z,False,raubitsj
v0.8.35,2020-05-01T18:43:10Z,False,raubitsj
v0.8.34,2020-05-01T18:42:27Z,False,raubitsj
v0.8.33,2020-04-25T00:09:03Z,False,raubitsj
v0.8.32,2020-04-15T07:06:31Z,False,raubitsj
v0.8.31,2020-03-27T16:12:58Z,False,raubitsj
v0.8.30,2020-03-20T00:26:49Z,False,raubitsj
v0.8.29,2020-03-05T20:04:25Z,False,raubitsj
v0.8.28,2020-02-22T02:59:40Z,False,raubitsj
v0.8.27,2020-02-11T19:16:48Z,False,raubitsj
v0.8.26,2020-02-10T19:48:34Z,False,raubitsj
v0.8.25,2020-02-06T21:47:13Z,False,raubitsj
v0.8.24,2020-02-04T16:58:25Z,False,raubitsj
v0.8.23,2020-02-03T21:56:40Z,False,raubitsj
v0.8.22,2020-01-24T21:16:43Z,False,raubitsj
v0.8.21,2020-01-16T02:07:03Z,False,raubitsj
v0.8.20,2020-01-11T01:00:32Z,False,raubitsj
v0.8.19,2019-12-19T02:14:25Z,False,raubitsj
v0.8.18,2019-12-05T02:10:15Z,False,raubitsj
v0.8.17,2019-12-03T22:17:31Z,False,raubitsj
v0.8.15,2019-11-06T22:14:15Z,False,raubitsj
v0.6.26rc12,2018-11-24T16:45:17Z,False,vanpelt
v0.6.26rc10,2018-11-11T23:16:05Z,True,vanpelt
v0.6.26rc2,2018-11-11T23:01:15Z,True,vanpelt
v0.6.26rc1,2018-11-11T22:08:16Z,True,vanpelt
