tag_name,published_at,prerelease,author_login
v4.5.6,2020-07-16T14:56:49Z,False,github-actions[bot]
v4.5.5,2020-07-01T11:42:13Z,False,wkentaro
v3.16.1,2019-06-10T15:47:15Z,False,wkentaro
v3.16.0,2019-05-28T19:33:44Z,False,wkentaro
v3.15.2,2019-05-16T12:24:43Z,False,wkentaro
v3.15.1,2019-05-16T03:01:26Z,False,wkentaro
v3.15.0,2019-05-15T16:21:36Z,False,wkentaro
v3.14.2,2019-05-13T15:22:51Z,False,wkentaro
v3.13.1,2019-04-12T19:21:06Z,False,wkentaro
v3.13.0,2019-04-12T19:08:28Z,False,wkentaro
v3.12.0,2019-04-11T03:55:04Z,False,wkentaro
v3.11.2,2019-03-21T21:28:10Z,False,wkentaro
v3.11.1,2019-03-21T14:09:59Z,False,wkentaro
v3.11.0,2019-03-16T12:11:40Z,False,wkentaro
v3.10.1,2019-03-01T13:23:30Z,False,wkentaro
v3.10.0,2019-02-25T15:29:06Z,False,wkentaro
v3.9.1,2019-02-21T08:51:02Z,False,wkentaro
v3.9.0,2019-02-12T07:42:10Z,False,wkentaro
v3.8.2,2019-02-12T05:06:20Z,False,wkentaro
v3.8.1,2019-02-01T14:39:35Z,False,wkentaro
v3.8.0,2019-02-01T00:15:15Z,False,wkentaro
v3.7.2,2019-01-30T12:01:32Z,False,wkentaro
v3.7.1,2019-01-28T21:59:33Z,False,wkentaro
v3.7.0,2019-01-27T18:01:02Z,False,wkentaro
v3.6.16,2019-01-02T16:09:50Z,False,wkentaro
v3.6.13,2019-01-02T15:26:04Z,False,wkentaro
v3.6.12,2018-12-29T06:52:59Z,False,wkentaro
v3.6.11,2018-12-25T11:53:01Z,False,wkentaro
v3.6.10,2018-12-21T16:00:53Z,False,wkentaro
v3.6.9,2018-12-21T15:34:30Z,False,wkentaro
v3.6.8,2018-12-21T14:22:05Z,False,wkentaro
v3.6.7,2018-12-21T12:32:48Z,False,wkentaro
v3.6.6,2018-12-21T01:55:39Z,False,wkentaro
v2.14.0,2018-05-11T13:29:10Z,False,wkentaro
v2.13.0,2018-05-02T18:14:13Z,False,wkentaro
v2.12.0,2018-04-24T17:52:22Z,False,wkentaro
v2.11.0,2018-04-12T15:09:12Z,False,wkentaro
v2.10.4,2018-04-08T07:36:06Z,False,wkentaro
v2.10.0,2018-04-08T00:43:38Z,False,wkentaro
