tag_name,published_at,prerelease,author_login
2020.12.31,2020-12-30T22:19:20Z,False,dstftw
2020.12.29,2020-12-28T19:55:01Z,False,dstftw
2020.12.26,2020-12-26T16:18:48Z,False,dstftw
2020.12.22,2020-12-21T21:49:23Z,False,dstftw
2020.12.14,2020-12-13T17:58:53Z,False,dstftw
2020.12.12,2020-12-12T00:11:18Z,False,dstftw
2020.12.09,2020-12-08T21:27:39Z,False,dstftw
2020.12.07,2020-12-06T19:04:49Z,False,dstftw
2020.12.05,2020-12-04T20:41:16Z,False,dstftw
2020.12.02,2020-12-01T18:38:55Z,False,dstftw
2020.11.29,2020-11-29T06:54:14Z,False,dstftw
2020.11.26,2020-11-25T20:07:06Z,False,dstftw
2020.11.24,2020-11-23T17:24:42Z,False,dstftw
2020.11.21.1,2020-11-21T17:00:41Z,False,dstftw
2020.11.21,2020-11-21T16:56:53Z,False,dstftw
2020.11.19,2020-11-18T22:24:01Z,False,dstftw
2020.11.18,2020-11-17T21:16:54Z,False,dstftw
2020.11.17,2020-11-16T21:01:25Z,False,dstftw
2020.11.12,2020-11-16T15:39:05Z,False,dstftw
2020.11.01.1,2020-11-16T15:34:03Z,False,dstftw
2020.09.20,2020-09-20T05:32:09Z,False,dstftw
2020.09.14,2020-09-13T20:38:44Z,False,dstftw
2020.09.06,2020-09-06T06:01:58Z,False,dstftw
2020.07.28,2020-07-27T22:14:29Z,False,dstftw
2020.06.16.1,2020-06-15T23:23:31Z,False,dstftw
2020.06.16,2020-06-15T19:55:02Z,False,dstftw
2020.06.06,2020-06-05T18:53:13Z,False,dstftw
2020.05.29,2020-05-28T20:34:52Z,False,dstftw
2020.05.08,2020-05-08T11:12:30Z,False,dstftw
2020.05.03,2020-05-02T17:06:57Z,False,dstftw
2020.03.24,2020-03-23T20:15:53Z,False,dstftw
2020.03.08,2020-03-08T11:30:08Z,False,dstftw
2020.03.06,2020-03-05T17:26:56Z,False,dstftw
2020.03.01,2020-03-01T13:12:44Z,False,dstftw
2020.02.16,2020-02-16T15:45:05Z,False,dstftw
2020.01.24,2020-01-23T21:18:12Z,False,dstftw
2020.01.15,2020-01-14T18:39:20Z,False,dstftw
2020.01.01,2019-12-31T22:26:07Z,False,dstftw
2019.12.25,2019-12-24T18:18:12Z,False,dstftw
2019.11.28,2019-11-28T16:26:57Z,False,dstftw
2019.11.22,2019-11-21T18:25:48Z,False,dstftw
2019.11.05,2019-11-04T22:34:16Z,False,dstftw
2019.10.29,2019-10-28T23:13:48Z,False,dstftw
2019.10.22,2019-10-21T17:10:24Z,False,dstftw
2019.10.16,2019-10-15T20:28:01Z,False,dstftw
2019.09.28,2019-09-27T17:32:18Z,False,dstftw
2019.09.12.1,2019-09-11T20:00:01Z,False,dstftw
2019.09.12,2019-09-11T18:50:51Z,False,dstftw
2019.09.01,2019-08-31T20:34:28Z,False,dstftw
2019.08.13,2019-08-13T16:20:23Z,False,dstftw
2019.08.02,2019-08-01T22:41:15Z,False,dstftw
2019.07.30,2019-07-30T02:45:25Z,False,dstftw
2019.07.27,2019-07-26T20:46:34Z,False,dstftw
2019.07.16,2019-07-15T17:03:31Z,False,dstftw
2019.07.14,2019-07-13T20:12:23Z,False,dstftw
2019.07.12,2019-07-11T17:57:04Z,False,dstftw
2019.07.02,2019-07-11T18:09:54Z,False,dstftw
2019.06.27,2019-06-27T16:58:58Z,False,dstftw
2019.06.21,2019-06-21T16:05:40Z,False,dstftw
2019.06.08,2019-06-07T20:49:00Z,False,dstftw
2019.05.20,2019-05-20T16:31:26Z,False,dstftw
2019.05.11,2019-05-10T23:09:14Z,False,dstftw
2019.04.30,2019-04-29T23:14:06Z,False,dstftw
2019.04.24,2019-04-24T03:07:32Z,False,dstftw
2019.04.17,2019-04-16T17:38:50Z,False,dstftw
2019.04.07,2019-04-06T21:21:31Z,False,dstftw
2019.04.01,2019-04-01T16:56:34Z,False,dstftw
2019.03.18,2019-03-17T18:52:40Z,False,dstftw
2019.03.09,2019-03-08T19:55:21Z,False,dstftw
2019.03.01,2019-02-28T18:05:26Z,False,dstftw
2019.02.18,2019-02-17T19:12:44Z,False,dstftw
2019.02.08,2019-02-07T18:14:15Z,False,dstftw
2019.01.30.1,2019-01-29T23:20:59Z,False,dstftw
2019.01.30,2019-01-29T17:10:14Z,False,dstftw
2019.01.27,2019-01-27T14:29:47Z,False,dstftw
2019.01.24,2019-01-23T18:47:40Z,False,dstftw
2019.01.23,2019-01-22T21:48:45Z,False,dstftw
2019.01.17,2019-01-17T03:28:57Z,False,dstftw
2019.01.16,2019-01-15T19:25:36Z,False,dstftw
2019.01.10,2019-01-10T16:33:25Z,False,dstftw
2019.01.02,2019-01-02T16:54:21Z,False,dstftw
2018.12.31,2018-12-31T17:01:39Z,False,dstftw
2018.12.17,2018-12-16T22:39:25Z,False,dstftw
2018.12.09,2018-12-09T16:13:20Z,False,dstftw
2018.12.03,2018-12-02T17:11:49Z,False,dstftw
2018.11.23,2018-11-22T17:18:13Z,False,dstftw
2018.11.18,2018-11-17T17:13:25Z,False,dstftw
2018.11.07,2018-11-07T03:02:22Z,False,dstftw
2018.11.03,2018-11-02T19:59:05Z,False,dstftw
2018.10.29,2018-10-28T17:40:53Z,False,dstftw
2018.10.05,2018-10-04T19:33:09Z,False,dstftw
2018.09.26,2018-09-26T05:00:11Z,False,dstftw
2018.09.18,2018-09-17T18:48:15Z,False,dstftw
2018.09.10,2018-09-09T19:50:25Z,False,dstftw
2018.09.08,2018-09-07T20:44:30Z,False,dstftw
2018.09.01,2018-09-01T11:41:59Z,False,dstftw
2018.08.28,2018-08-27T20:12:44Z,False,dstftw
2018.08.22,2018-08-21T19:34:17Z,False,dstftw
2018.08.04,2018-08-03T18:25:19Z,False,dstftw
2018.07.29,2018-07-29T00:03:55Z,False,dstftw
2018.07.21,2018-07-21T14:02:03Z,False,dstftw
2018.07.10,2018-07-09T19:11:09Z,False,dstftw
2018.07.04,2018-07-03T22:01:05Z,False,dstftw
2018.06.25,2018-06-24T19:27:55Z,False,dstftw
2018.06.19,2018-06-19T16:17:45Z,False,dstftw
2018.06.18,2018-06-17T18:36:02Z,False,dstftw
2018.06.14,2018-06-13T18:26:40Z,False,dstftw
2018.06.11,2018-06-10T18:59:02Z,False,dstftw
2018.06.04,2018-06-03T19:43:28Z,False,dstftw
2018.06.02,2018-06-01T18:52:46Z,False,dstftw
2018.05.30,2018-05-30T14:55:50Z,False,dstftw
2018.05.26,2018-05-26T06:04:02Z,False,dstftw
2018.05.18,2018-05-17T17:34:24Z,False,dstftw
2018.05.09,2018-05-08T17:38:02Z,False,dstftw
2018.05.01,2018-04-30T20:40:59Z,False,dstftw
2018.04.25,2018-04-24T18:13:50Z,False,dstftw
2018.04.16,2018-04-15T18:10:45Z,False,dstftw
2018.04.09,2018-04-08T18:21:00Z,False,dstftw
2018.04.03,2018-04-02T17:28:04Z,False,dstftw
2018.03.26.1,2018-03-26T15:33:12Z,False,dstftw
2018.03.20,2018-03-19T18:57:31Z,False,dstftw
2018.03.14,2018-03-14T15:50:58Z,False,dstftw
2018.03.10,2018-03-09T21:47:33Z,False,dstftw
2018.03.03,2018-03-02T18:38:23Z,False,dstftw
2018.02.26,2018-02-25T21:24:59Z,False,dstftw
2018.02.25,2018-02-25T13:53:17Z,False,dstftw
2018.02.22,2018-02-22T16:52:11Z,False,dstftw
2018.02.11,2018-02-11T15:33:07Z,False,dstftw
2018.02.08,2018-02-08T16:41:07Z,False,dstftw
2018.02.04,2018-02-04T01:04:21Z,False,dstftw
2018.02.03,2018-02-03T16:45:40Z,False,dstftw
2018.01.27,2018-01-27T16:45:45Z,False,dstftw
2018.01.21,2018-01-21T14:27:22Z,False,dstftw
2018.01.18,2018-01-18T16:43:18Z,False,dstftw
2018.01.14,2018-01-13T17:15:14Z,False,dstftw
2018.01.07,2018-01-07T16:53:42Z,False,dstftw
2017.12.31,2017-12-30T21:32:06Z,False,dstftw
2017.12.28,2017-12-28T16:14:33Z,False,dstftw
2017.12.23,2017-12-23T14:25:58Z,False,dstftw
2017.12.14,2017-12-13T22:20:50Z,False,dstftw
2017.12.10,2017-12-10T16:20:24Z,False,dstftw
2017.12.02,2017-12-02T14:36:09Z,False,dstftw
2017.11.26,2017-11-26T14:50:50Z,False,dstftw
2017.11.15,2017-11-14T17:21:06Z,False,dstftw
2017.11.06,2017-11-06T15:42:32Z,False,dstftw
2017.10.29,2017-10-29T00:24:27Z,False,dstftw
2017.10.20,2017-10-20T16:42:16Z,False,dstftw
2017.10.15.1,2017-10-14T23:18:09Z,False,dstftw
2017.10.15,2017-10-14T19:28:32Z,False,dstftw
2017.10.12,2017-10-11T18:07:59Z,False,dstftw
2017.10.07,2017-10-06T22:04:28Z,False,dstftw
2017.10.01,2017-10-01T14:56:09Z,False,dstftw
2017.09.24,2017-09-23T17:24:27Z,False,dstftw
2017.09.15,2017-09-15T14:49:44Z,False,dstftw
2017.09.11,2017-09-10T20:32:08Z,False,dstftw
2017.09.10,2017-09-10T15:20:46Z,False,dstftw
2017.09.02,2017-09-01T18:09:54Z,False,dstftw
2017.08.27.1,2017-08-26T23:11:08Z,False,dstftw
2017.08.27,2017-08-26T21:29:40Z,False,dstftw
2017.08.23,2017-08-23T16:24:42Z,False,dstftw
2017.08.18,2017-08-17T18:07:01Z,False,dstftw
2017.08.13,2017-08-13T01:59:54Z,False,dstftw
2017.08.09,2017-08-09T16:53:48Z,False,dstftw
2017.08.06,2017-08-06T02:07:12Z,False,dstftw
2017.07.30.1,2017-07-30T14:50:18Z,False,dstftw
2017.07.23,2017-07-22T18:10:31Z,False,dstftw
2017.07.15,2017-07-15T00:37:42Z,False,dstftw
2017.07.09,2017-07-09T13:18:14Z,False,dstftw
2017.07.02,2017-07-02T13:18:33Z,False,dstftw
2017.06.25,2017-06-24T22:17:31Z,False,dstftw
2017.06.23,2017-06-22T19:14:38Z,False,dstftw
2017.06.18,2017-06-17T17:18:15Z,False,dstftw
2017.06.12,2017-06-11T19:24:38Z,False,dstftw
2017.06.05,2017-06-04T17:49:34Z,False,dstftw
2017.05.29,2017-05-28T17:43:33Z,False,dstftw
2017.05.26,2017-05-26T15:47:21Z,False,dstftw
2017.05.23,2017-05-22T17:19:22Z,False,dstftw
2017.05.18.1,2017-05-18T16:01:11Z,False,dstftw
2017.05.18,2017-05-18T15:35:47Z,False,dstftw
2017.05.14,2017-05-14T00:39:57Z,False,dstftw
2017.05.09,2017-05-09T16:24:33Z,False,dstftw
2017.05.07,2017-05-06T21:53:02Z,False,dstftw
2017.05.01,2017-04-30T18:42:22Z,False,dstftw
2017.04.28,2017-04-28T11:31:20Z,False,dstftw
2017.04.26,2017-04-25T17:08:24Z,False,dstftw
2017.04.17,2017-04-16T17:48:34Z,False,dstftw
2017.04.16,2017-04-15T18:50:50Z,False,dstftw
2017.04.15,2017-04-14T18:41:15Z,False,dstftw
2017.04.14,2017-04-13T17:33:35Z,False,dstftw
2017.04.11,2017-04-10T19:19:40Z,False,dstftw
2017.04.09,2017-04-08T17:03:11Z,False,dstftw
2017.04.03,2017-04-02T20:56:02Z,False,dstftw
2017.04.02,2017-04-01T19:40:27Z,False,dstftw
2017.03.26,2017-03-26T16:43:18Z,False,dstftw
2017.03.24,2017-03-23T17:25:40Z,False,dstftw
2017.03.22,2017-03-21T19:48:39Z,False,dstftw
2017.03.20,2017-03-19T17:09:14Z,False,dstftw
2017.03.16,2017-03-16T15:44:03Z,False,dstftw
2017.03.15,2017-03-14T19:04:09Z,False,dstftw
2017.03.10,2017-03-10T16:28:50Z,False,dstftw
2017.03.07,2017-03-06T21:00:32Z,False,dstftw
2017.03.06,2017-03-05T21:05:52Z,False,dstftw
2017.03.05,2017-03-04T19:24:53Z,False,dstftw
2017.03.02,2017-03-02T17:21:22Z,False,dstftw
2017.02.28,2017-02-28T17:18:34Z,False,dstftw
2017.02.27,2017-02-27T16:29:27Z,False,dstftw
2017.02.24.1,2017-02-24T15:00:59Z,False,dstftw
2017.02.24,2017-02-23T23:10:46Z,False,dstftw
2017.02.22,2017-02-22T16:52:08Z,False,dstftw
2017.02.21,2017-02-21T16:50:03Z,False,dstftw
2017.02.17,2017-02-17T17:16:30Z,False,dstftw
2017.02.16,2017-02-15T17:11:22Z,False,dstftw
2017.02.14,2017-02-13T18:11:27Z,False,dstftw
2017.02.11,2017-02-11T10:11:16Z,False,dstftw
2017.02.10,2017-02-09T18:29:07Z,False,dstftw
2017.02.07,2017-02-06T19:06:26Z,False,dstftw
2017.02.04.1,2017-02-04T16:27:49Z,False,dstftw
2017.02.04,2017-02-04T15:59:37Z,False,dstftw
2017.02.01,2017-02-01T16:34:26Z,False,dstftw
2017.01.31,2017-01-31T15:26:18Z,False,dstftw
2017.01.29,2017-01-29T14:26:41Z,False,dstftw
2017.01.28,2017-01-27T17:35:13Z,False,dstftw
2017.01.25,2017-01-25T16:37:21Z,False,dstftw
