tag_name,published_at,prerelease,author_login
1.10.2,2020-12-21T21:12:05Z,False,yutiansut
1.9.23,2020-05-18T01:17:28Z,False,yutiansut
1.9.6,2020-02-24T18:58:23Z,False,yutiansut
1.8.0,2020-01-27T14:23:18Z,False,yutiansut
1.7.7,2020-01-14T19:16:47Z,False,yutiansut
1.7.5,2020-01-13T08:46:18Z,False,yutiansut
1.7.4,2020-01-10T04:56:58Z,False,yutiansut
1.7.3,2020-01-09T19:06:07Z,False,yutiansut
1.7.1,2019-12-29T08:36:18Z,False,yutiansut
1.7.0,2019-12-27T10:52:29Z,False,yutiansut
1.6.11,2019-11-17T19:59:11Z,False,yutiansut
1.5.12,2019-08-28T10:43:19Z,False,yutiansut
1.5.11,2019-08-22T16:45:42Z,False,yutiansut
1.5.10,2019-08-18T08:32:45Z,False,yutiansut
1.5.9,2019-08-13T08:10:20Z,False,yutiansut
1.5.8,2019-08-05T21:31:49Z,False,yutiansut
1.5.7,2019-07-31T23:32:53Z,False,yutiansut
1.5.6,2019-07-25T07:50:26Z,False,yutiansut
1.5.5,2019-07-24T16:31:50Z,False,yutiansut
1.5.1,2019-05-07T05:52:20Z,False,yutiansut
1.4.8,2019-04-30T17:23:05Z,False,yutiansut
1.4.2,2019-04-08T21:19:47Z,False,yutiansut
1.3.7,2019-04-02T13:18:18Z,False,yutiansut
1.3.0,2019-03-03T13:25:34Z,False,yutiansut
1.2.9,2019-01-22T15:52:38Z,False,yutiansut
1.2.7,2019-01-14T18:59:12Z,False,yutiansut
1.2.6,2019-01-07T23:48:24Z,False,yutiansut
1.2.5,2019-01-03T14:12:53Z,False,yutiansut
1.2.3,2018-12-30T19:04:20Z,False,yutiansut
1.2.2,2018-12-17T01:54:51Z,False,yutiansut
1.2.1,2018-12-03T15:28:22Z,False,yutiansut
1.1.10,2018-10-26T17:05:55Z,False,yutiansut
1.1.9,2018-10-14T13:27:09Z,False,yutiansut
1.1.7,2018-10-04T11:19:14Z,False,yutiansut
1.0.50,2018-06-14T02:02:35Z,True,QUANTAXISER
0.7,2018-01-19T06:54:53Z,True,yutiansut
V0.5.0,2017-10-06T03:01:19Z,False,yutiansut
0.4.2,2017-09-09T20:21:49Z,False,yutiansut
0.4.0-beta,2017-08-06T00:38:02Z,False,yutiansut
0.4.0-alpha,2017-08-06T00:37:10Z,False,yutiansut
0.4.0,2017-07-05T01:56:36Z,False,yutiansut
0.3.9,2017-07-05T01:55:31Z,False,yutiansut
0.3.9gamma,2017-06-19T14:45:38Z,False,yutiansut
0.3.9-dev-alpha,2017-05-03T05:12:16Z,False,yutiansut
0.3.9-beta,2017-05-03T05:19:21Z,False,yutiansut
0.3.8,2017-04-21T08:02:35Z,False,yutiansut
0.3.8-dev-RC,2017-04-05T19:49:21Z,False,yutiansut
0.3.8-dev-gamma,2017-04-04T17:24:36Z,False,yutiansut
0.3.8-dev-beta,2017-04-03T10:04:07Z,False,yutiansut
0.3.8dev,2017-04-03T08:02:54Z,True,yutiansut
0.3.7,2017-03-05T05:48:44Z,True,yutiansut
0.3.5,2017-02-01T07:15:58Z,True,yutiansut
0.3.3,2016-06-07T13:15:18Z,True,yutiansut
0.3.2,2016-06-03T17:35:50Z,False,yutiansut
1.5.0,2019-05-03T10:02:36Z,False,yutiansut
0.3.0-beta,2016-06-01T10:12:47Z,False,yutiansut
0.2.6,2016-06-01T05:38:16Z,False,yutiansut
0.2.5,2016-06-01T05:41:42Z,False,yutiansut
0.2.0,2016-06-01T06:10:05Z,False,yutiansut
0.1.5,2016-06-01T06:09:25Z,False,yutiansut
0.0.0,2016-06-01T06:34:37Z,False,yutiansut
