year,new_versions,new_release_versions,new_prerelease_versions
2010,544,496,37
2011,23081,22241,681
2012,65864,63456,1986
2013,166660,160586,5750
2014,364530,353118,11412
2015,656783,636781,20002
2016,1200120,1111447,88673
2017,1890753,1642080,248672
2018,2759264,2202398,556866
2019,3877309,2904007,973302
2020,5210922,3621581,1589341
2021,5908230,4079351,1828879
2022,7226291,4715984,2510307
2023,8944113,5450001,3494112
2024,10254891,6003893,4250998
2025,10919369,6244579,4674790
2026,6423869,4008980,2414889
