login,type,contributions,is_bot
pytorchmergebot,User,4949,True
ezyang,User,3459,False
malfet,User,3130,False
zou3519,User,1799,False
jerryzh168,User,1221,False
cyyever,User,1196,False
soumith,User,1155,False
gchanan,User,1084,False
anijain2305,User,1021,False
peterbell10,User,890,False
apaszke,User,886,False
suo,User,795,False
Chillee,User,750,False
albanD,User,741,False
janeyx99,User,735,False
zdevito,User,733,False
desertfire,User,683,False
rohan-varma,User,679,False
huydhn,User,674,False
swolchok,User,674,False
colesbury,User,655,False
jansel,User,644,False
mlazos,User,593,False
eellison,User,575,False
angelayi,User,575,False
smessmer,User,545,False
bdhirsh,User,520,False
kshitij12345,User,515,False
williamwen42,User,509,False
vkuzo,User,498,False
pytorchupdatebot,User,495,False
wconstab,User,488,False
seemethere,User,474,False
Yangqing,User,471,False
wanchaol,User,469,False
eqy,User,469,False
atalman,User,465,False
drisspg,User,459,False
ssnl,User,454,False
BowenBao,User,439,False
tugsbayasgalan,User,437,False
zasdfgbnm,User,435,False
XuehaiPan,User,426,False
Skylion007,User,425,False
bobrenjc93,User,424,False
r-barnes,User,421,False
mrshenli,User,411,False
soulitzer,User,406,False
pietern,User,391,False
ydwu4,User,376,False
bwasti,User,375,False
jeffdaily,User,374,False
houseroad,User,374,False
lezcano,User,370,False
bddppq,User,366,False
laithsakka,User,366,False
oulgen,User,362,False
kwen2501,User,356,False
davidberard98,User,353,False
guilhermeleobas,User,343,False
zhxchen17,User,330,False
yanboliang,User,330,False
aorenste,User,327,False
IvanKobzarev,User,326,False
mikaylagawarecki,User,325,False
peterjc123,User,323,False
jbschlosser,User,322,False
guangyey,User,321,False
goldsborough,User,312,False
xuhdev,User,309,False
lw,User,294,False
onnxbot,User,292,False
yushangdi,User,291,False
pianpwk,User,288,False
justinchuby,User,286,False
fegin,User,283,False
fduwjj,User,275,False
kurtamohler,User,267,False
Krovatkin,User,265,False
bertmaher,User,255,False
H-Huang,User,253,False
shunting314,User,251,False
supriyar,User,241,False
xmfan,User,240,False
pritamdamania,User,239,False
masnesral,User,237,False
IvanYashchuk,User,236,False
XiaobingSuper,User,233,False
leslie-fang-intel,User,230,False
fffrog,User,229,False
anjali411,User,218,False
jspark1105,User,217,False
kimishpatel,User,216,False
pearu,User,214,False
wz337,User,207,False
SherlockNoMad,User,205,False
killeent,User,204,False
etaf,User,195,False
titaiwangms,User,195,False
ljk53,User,192,False
xuhancn,User,192,False
vfdev-5,User,184,False
henrylhtsang,User,182,False
kit1980,User,181,False
voznesenskym,User,180,False
jithunnair-amd,User,177,False
jamesjwu,User,172,False
mingzhe09088,User,169,False
avikchaudhuri,User,168,False
xta0,User,163,False
yf225,User,162,False
nkaretnikov,User,161,False
cpuhrsch,User,161,False
pjh5,User,158,False
ysiraichi,User,157,False
ZainRizvi,User,155,False
VitalyFedyunin,User,154,False
xiaomengy,User,152,False
isuruf,User,151,False
pbelevich,User,150,False
qqaatw,User,150,False
samestep,User,148,False
ejguan,User,147,False
t-vi,User,144,False
crcrpar,User,143,False
vishwakftw,User,143,False
facebook-github-bot,User,142,False
jjsjann123,User,140,False
andresy,User,140,False
pmeier,User,139,False
CaoE,User,138,False
navahgar,User,136,False
nikitaved,User,136,False
dreiss,User,134,False
Lucaskabela,User,134,False
StrongerXi,User,134,False
d4l3k,User,131,False
orionr,User,131,False
zeshengzong,User,130,False
zhaojuanmao,User,128,False
slayton58,User,126,False
