tag_name,published_at,prerelease,is_draft,author_login,author_type,is_bot
v2.11.0,2026-03-23T18:38:28Z,False,False,vkuzo,User,False
v2.10.0,2026-01-21T17:05:16Z,False,False,slayton58,User,False
v2.9.1,2025-11-12T19:27:19Z,False,False,atalman,User,False
v2.9.0,2025-10-15T17:12:27Z,False,False,seemethere,User,False
v2.8.0,2025-08-06T17:06:10Z,False,False,jbschlosser,User,False
v2.7.1,2025-06-04T18:13:15Z,False,False,atalman,User,False
v2.7.0,2025-04-23T16:16:06Z,False,False,janeyx99,User,False
v2.6.0,2025-01-29T17:18:54Z,False,False,HDCharles,User,False
v2.5.1,2024-10-29T17:58:24Z,False,False,kit1980,User,False
v2.5.0,2024-10-17T16:26:53Z,False,False,jainapurva,User,False
v2.4.1,2024-09-04T19:59:29Z,False,False,atalman,User,False
v2.4.0,2024-07-24T18:39:28Z,False,False,vmoens,User,False
v2.3.1,2024-06-05T19:16:07Z,False,False,atalman,User,False
v2.3.0,2024-04-24T16:12:17Z,False,False,andrewor14,User,False
v2.2.2,2024-03-27T22:27:02Z,False,False,atalman,User,False
v2.2.1,2024-02-22T21:15:00Z,False,False,atalman,User,False
v2.2.0,2024-01-30T17:58:51Z,False,False,jcaip,User,False
v2.1.2,2023-12-15T01:59:57Z,False,False,atalman,User,False
v2.1.1,2023-11-15T22:59:33Z,False,False,jerryzh168,User,False
v2.1.0,2023-10-04T17:32:12Z,False,False,jerryzh168,User,False
v2.0.1,2023-05-08T19:55:19Z,False,False,drisspg,User,False
v2.0.0,2023-03-15T19:38:58Z,False,False,drisspg,User,False
v1.13.1,2022-12-16T00:17:16Z,False,False,atalman,User,False
v1.13.0,2022-10-28T16:54:00Z,False,False,mikaylagawarecki,User,False
v1.12.1,2022-08-05T19:35:19Z,False,False,atalman,User,False
v1.12.0,2022-06-28T16:48:06Z,False,False,soulitzer,User,False
v1.11.0,2022-03-10T16:59:55Z,False,False,bdhirsh,User,False
v1.10.2,2022-01-27T21:51:23Z,False,False,atalman,User,False
v1.10.1,2021-12-15T22:27:43Z,False,False,seemethere,User,False
v1.10.0,2021-10-21T15:49:53Z,False,False,albanD,User,False
v1.9.1,2021-09-22T12:58:15Z,False,False,malfet,User,False
v1.8.2,2021-08-17T18:33:00Z,False,False,seemethere,User,False
v1.9.0,2021-06-15T16:06:52Z,False,False,anjali411,User,False
v1.8.1,2021-03-25T16:07:08Z,False,False,albanD,User,False
v1.8.0,2021-03-04T20:44:39Z,False,False,albanD,User,False
v1.7.1,2020-12-10T17:19:58Z,False,False,albanD,User,False
v1.7.0,2020-10-27T16:35:58Z,False,False,albanD,User,False
v1.6.0,2020-07-28T17:13:18Z,False,False,zou3519,User,False
v1.5.1,2020-06-18T16:43:46Z,False,False,zou3519,User,False
v1.5.0,2020-04-21T16:26:30Z,False,False,zou3519,User,False
v1.4.0,2020-01-16T00:03:49Z,False,False,nairbv,User,False
v1.3.1,2019-11-07T17:19:44Z,False,False,gchanan,User,False
v1.3.0,2019-10-10T17:26:52Z,False,False,nairbv,User,False
v1.2.0,2019-08-08T16:06:38Z,False,False,gchanan,User,False
v1.1.0,2019-05-01T00:09:03Z,False,False,soumith,User,False
v1.0.1,2019-02-07T08:51:04Z,False,False,soumith,User,False
v1.0.0,2018-12-07T19:19:01Z,False,False,soumith,User,False
v1.0rc1,2018-10-02T06:28:33Z,True,False,soumith,User,False
v0.4.1,2018-07-26T19:09:19Z,False,False,soumith,User,False
v0.4.0,2018-04-24T20:49:48Z,False,False,soumith,User,False
v0.3.1,2018-02-14T00:36:58Z,False,False,soumith,User,False
v0.3.0,2017-12-05T01:57:11Z,False,False,soumith,User,False
v0.2.0,2017-08-28T14:43:31Z,False,False,soumith,User,False
v0.1.12,2017-05-02T22:26:49Z,False,False,soumith,User,False
v0.1.11,2017-03-31T16:27:41Z,False,False,soumith,User,False
v0.1.10,2017-03-15T05:58:21Z,False,False,soumith,User,False
v0.1.9,2017-02-24T13:02:03Z,False,False,soumith,User,False
v0.1.8,2017-02-05T02:01:26Z,False,False,soumith,User,False
v0.1.7,2017-02-02T12:40:39Z,False,False,soumith,User,False
v0.1.6,2017-02-02T12:29:07Z,False,False,soumith,User,False
v0.1.5,2016-11-18T10:15:32Z,True,False,soumith,User,False
v0.1.4,2016-10-03T22:21:00Z,True,False,soumith,User,False
v0.1.3,2016-09-16T11:01:19Z,True,False,soumith,User,False
v0.1.2,2016-09-01T05:03:16Z,True,False,soumith,User,False
v0.1.1,2016-09-01T05:01:36Z,True,False,soumith,User,False
